instance	machine	jobs	best
I_50_10_S_1-9_1	10	50	67
I_50_10_S_1-49_1	10	50	77
I_50_10_S_1-99_1	10	50	118
I_50_10_S_1-124_1	10	50	114
I_50_15_S_1-9_1	15	50	36
I_50_15_S_1-49_1	15	50	59
I_50_15_S_1-99_1	15	50	78
I_50_15_S_1-124_1	15	50	75
I_50_20_S_1-9_1	20	50	31
I_50_20_S_1-49_1	20	50	39
I_50_20_S_1-99_1	20	50	49
I_50_20_S_1-124_1	20	50	52
I_50_25_S_1-9_1	25	50	22
I_50_25_S_1-49_1	25	50	25
I_50_25_S_1-99_1	25	50	35
I_50_25_S_1-124_1	25	50	37
I_100_10_S_1-9_1	10	100	131
I_100_10_S_1-49_1	10	100	159
I_100_10_S_1-99_1	10	100	212
I_100_10_S_1-124_1	10	100	221
I_100_15_S_1-9_1	15	100	68
I_100_15_S_1-49_1	15	100	97
I_100_15_S_1-99_1	15	100	123
I_100_15_S_1-124_1	15	100	141
I_100_20_S_1-9_1	20	100	46
I_100_20_S_1-49_1	20	100	75
I_100_20_S_1-99_1	20	100	82
I_100_20_S_1-124_1	20	100	100
I_100_25_S_1-9_1	25	100	31
I_100_25_S_1-49_1	25	100	51
I_100_25_S_1-99_1	25	100	68
I_100_25_S_1-124_1	25	100	73
