instancia	n	fo	bloco
C109	10	828.94	C
C208	3	588.32	C
R112	9	982.14	R
R211	2	885.71	R
RC108	10	1139.82	RC
RC208	3	828.14	RC
C108	10	828.94	C
C207	3	588.29	C
R111	10	1096.72	R
R210	3	939.37	R
RC107	11	1230.48	RC
RC207	3	1061.14	RC
C107	10	828.94	C
C206	3	588.49	C
R110	10	1118.84	R
R209	3	909.16	R
RC106	11	1424.73	RC
RC206	3	1146.32	RC
C106	10	828.94	C
C205	3	588.88	C
R109	11	1194.73	R
R208	2	726.82	R
RC105	13	1629.44	RC
RC205	4	1297.65	RC
C105	10	828.94	C
C204	3	590.60	C
R108	9	960.88	R
R207	2	890.61	R
RC104	10	1135.48	R
RC204	3	798.46	RC
C104	10	824.78	C
C203	3	591.17	C
R107	10	1104.66	R
R206	3	906.14	R
RC103	11	1261.67	RC
RC203	3	1049.62	RC
C103	10	828.06	C
C202	3	591.56	C
R106	12	1252.03	R
R205	3	994.43	R
RC102	12	1554.75	RC
RC202	3	1365.65	RC
C102	10	828.94	C
C201	3	591.56	C
R105	14	1377.11	R
R204	2	825.52	R
RC101	14	1696.95	RC
RC201	4	1406.94	RC
C101	10	828.94	C
R104	9	1007.31	R
R203	3	939.50	R
R103	13	1292.68	R
R202	3	1191.70	R
R102	17	1486.12	R
R201	4	1252.37	R
R101	19	1650.80	R
