"instance","literatura","one","two","four","eight","ten","twenty","thirty","forty","fifty","sixty"
"I_50_10_S_1-9_1",67,68,67,67,67,67,67,67,67,67,67
"I_50_10_S_1-49_1",77,78,78,77,77,77,77,77,77,77,77
"I_50_10_S_1-99_1",118,118,118,118,118,118,118,118,118,118,118
"I_50_10_S_1-124_1",114,114,114,114,114,114,114,114,114,114,114
"I_50_15_S_1-9_1",36,36,36,36,36,36,36,36,36,36,36
"I_50_15_S_1-49_1",59,59,59,59,59,59,59,59,59,59,59
"I_50_15_S_1-99_1",78,78,78,78,78,78,78,78,78,78,78
"I_50_15_S_1-124_1",75,75,75,75,75,75,75,75,75,75,75
"I_50_20_S_1-9_1",31,31,31,31,31,31,31,31,31,31,31
"I_50_20_S_1-49_1",39,39,39,39,39,39,39,39,39,39,39
"I_50_20_S_1-99_1",49,49,49,49,49,49,49,49,49,49,49
"I_50_20_S_1-124_1",52,53,52,52,52,52,52,52,52,52,52
"I_50_25_S_1-9_1",22,22,22,22,22,22,22,22,22,22,22
"I_50_25_S_1-49_1",25,27,25,25,25,25,25,25,25,25,25
"I_50_25_S_1-99_1",35,35,35,35,35,35,35,35,35,35,35
"I_50_25_S_1-124_1",37,37,37,37,37,37,37,37,37,37,37
