"instance","literatura","one","two","four","eight","ten","twenty","thirty","forty","fifty","sixty"
"I_50_10_S_1-9_1",67,73.5333333333333,71.9,70.7,68.8333333333333,68.5333333333333,67.7333333333333,67.5666666666667,67.3333333333333,67.2666666666667,67.0666666666667
"I_50_10_S_1-49_1",77,85.4333333333333,82.7666666666667,81.4333333333333,80.6333333333333,79.8666666666667,78.0333333333333,78,77.7333333333333,77.2,77.6
"I_50_10_S_1-99_1",118,124.9,121.3,119.833333333333,118.6,118.2,118.1,118,118,118,118
"I_50_10_S_1-124_1",114,121.633333333333,119.066666666667,116.166666666667,114.233333333333,114.266666666667,114.1,114,114,114,114
"I_50_15_S_1-9_1",36,38.1333333333333,37.3666666666667,37.1,36.6333333333333,36.4666666666667,36.1666666666667,36.0333333333333,36,36,36
"I_50_15_S_1-49_1",59,63.2,60.6333333333333,60.3,59.1666666666667,59.3333333333333,59.0333333333333,59.0333333333333,59,59,59
"I_50_15_S_1-99_1",78,81.0333333333333,78.7,78.3333333333333,78.0333333333333,78,78,78,78,78,78
"I_50_15_S_1-124_1",75,84.2666666666667,80.5,77.4,76.5666666666667,75.7666666666667,75.0333333333333,75.0333333333333,75.0333333333333,75,75
"I_50_20_S_1-9_1",31,33.0333333333333,32.2333333333333,32,31.5333333333333,31.2,31.0333333333333,31,31,31,31
"I_50_20_S_1-49_1",39,44.2666666666667,42.9666666666667,40.6666666666667,39.7666666666667,39.8333333333333,39.1666666666667,39,39,39,39
"I_50_20_S_1-99_1",49,54.2,51.0666666666667,50.0666666666667,49.4,49.1333333333333,49.0333333333333,49,49,49,49
"I_50_20_S_1-124_1",52,61.2,57.5,56.3,53.9333333333333,53.1,52.2333333333333,52,52.1,52,52.0333333333333
"I_50_25_S_1-9_1",22,22.2,22,22,22,22,22,22,22,22,22
"I_50_25_S_1-49_1",25,32.8,29.5666666666667,28.7333333333333,27.4666666666667,27.2,26.3333333333333,25.4333333333333,25.2,25.5,25.2333333333333
"I_50_25_S_1-99_1",35,38.6333333333333,37.8,35.8333333333333,35.2333333333333,35.1333333333333,35,35,35,35,35
"I_50_25_S_1-124_1",37,42.8,39.9333333333333,38.4,37.8,37.6666666666667,37.0666666666667,37,37,37,37
