"instance","literatura","one","one_m","one_md","one_m_time","one_md_time","one_time","two","two_m","two_md","two_m_time","two_md_time","two_time","four","four_m","four_md","four_m_time","four_md_time","four_time","eight","eight_m","eight_md","eight_m_time","eight_md_time","eight_time","ten","ten_m","ten_md","ten_m_time","ten_md_time","ten_time","twenty","twenty_m","twenty_md","twenty_m_time","twenty_md_time","twenty_time","thirty","thirty_m","thirty_md","thirty_m_time","thirty_md_time","thirty_time","forty","forty_m","forty_md","forty_m_time","forty_md_time","forty_time","fifty","fifty_m","fifty_md","fifty_m_time","fifty_md_time","fifty_time","sixty","sixty_m","sixty_md","sixty_m_time","sixty_md_time","sixty_time","one_g","one_m_g","one_md_g","one_time_g","two_g","two_m_g","two_md_g","two_time_g","four_g","four_m_g","four_md_g","four_time_g","eight_g","eight_m_g","eight_md_g","eight_time_g","ten_g","ten_m_g","ten_md_g","ten_time_g","twenty_g","twenty_m_g","twenty_md_g","twenty_time_g","thirty_g","thirty_m_g","thirty_md_g","thirty_time_g","forty_g","forty_m_g","forty_md_g","forty_time_g","fifty_g","fifty_m_g","fifty_md_g","fifty_time_g","sixty_g","sixty_m_g","sixty_md_g","sixty_time_g"
"I_50_10_S_1-9_1",67,68,73.5333333333333,73.5,40.7286,40.2105,34.589,67,71.9,72,46.1789666666667,48.1085,23.088,67,70.7,71,43.6914666666667,45.519,5.369,67,68.8,69,49.1296333333333,53.887,7.364,67,68.4333333333333,68.5,44.4674,45.906,6.948,67,67.6666666666667,67,45.7327,48.125,2.287,67,67.5,67,47.6418,29.7555,5.045,67,67.2333333333333,67,40.8557333333333,27.1665,7.845,67,67.1666666666667,67,49.6520333333333,41.9435,8.983,67,67,67,37.2674,22.6955,8.389,0.0149253731343284,0.0975124378109452,0.0970149253731343,0.177501517823586,0,0.073134328358209,0.0746268656716418,1.00012849387849,0,0.055223880597015,0.0597014925373134,7.13772893772894,0,0.026865671641791,0.0298507462686567,5.67159605286982,0,0.0213930348258707,0.0223880597014925,5.40002878526195,0,0.00995024875621898,0,18.9968080454744,0,0.00746268656716418,0,8.44336967294351,0,0.00348258706467663,0,4.20786913108137,0,0.0024875621890548,0,4.52733311069056,0,0,0,3.44241268327572
"I_50_10_S_1-49_1",77,78,85.4333333333333,86,54.0663666666667,53.0835,46.995,78,82.7666666666667,82.5,61.6905666666667,61.987,53.234,77,81.4333333333333,81,63.0398,66.2995,25.059,77,80.6333333333333,80,67.0654,68.104,39.475,77,79.8666666666667,80,55.8861,58.6845,17.898,77,78.0333333333333,77.5,73.5317,80.559,26.368,77,77.9666666666667,77,78.4214,80.923,18.399,77,77.7333333333333,77,84.8225333333333,96.896,29.798,77,77.1666666666667,77,62.0752666666667,49.544,11.896,77,77.5666666666667,77,90.9523666666667,100.768,22.585,0.012987012987013,0.10952380952381,0.116883116883117,0.150470617441572,0.012987012987013,0.0748917748917749,0.0714285714285714,0.158856495222352,0,0.0575757575757576,0.051948051948052,1.51565505407239,0,0.0471861471861473,0.038961038961039,0.698933502216593,0,0.0372294372294371,0.038961038961039,2.12247737177338,0,0.0134199134199134,0.00649350649350649,1.788671875,0,0.0125541125541126,0,3.26226425349204,0,0.00952380952380954,0,1.84658478197642,0,0.00216450216450223,0,4.21816296794441,0,0.00735930735930731,0,3.02711386613534
"I_50_10_S_1-99_1",118,118,124.766666666667,123,48.2881333333333,49.9515,9.775,118,121.2,121,48.4313,51.88,12.967,118,119.6,119.5,45.5168,52.574,6.363,118,118.066666666667,118,42.8570666666667,41.0025,11.728,118,118,118,28.0671333333333,26.1075,10.015,118,118,118,35.9054666666667,32.587,13.067,118,118,118,33.6756,28.6675,11.355,118,118,118,31.6084666666667,31.36,17.589,118,118,118,29.4592666666667,27.9065,12.915,118,118,118,29.2805666666667,26.0355,13.902,0,0.0573446327683616,0.0423728813559322,3.93996248934356,0,0.0271186440677966,0.0254237288135593,2.73496568211614,0,0.0135593220338983,0.0127118644067797,6.15335533553355,0,0.000564971751412397,0,2.65425193269668,0,0,0,1.80250956897986,0,0,0,1.74779725007015,0,0,0,1.96570673712021,0,0,0,0.797058767790475,0,0,0,1.28101174345077,0,0,0,1.10621253536661
"I_50_10_S_1-124_1",114,114,121.6,121,53.7939333333333,52.928,17.175,114,118.966666666667,118,54.4199333333333,55.613,7.048,114,115.8,115,47.1703333333333,54.7195,9.037,114,114,114,42.2456333333333,41.584,14.798,114,114,114,38.0100333333333,33.9595,7.288,114,114,114,36.0981,29.3065,14.079,114,114,114,33.9894,33.638,6.403,114,114,114,39.2300666666667,37.4405,17.031,114,114,114,38.6595333333333,30.898,13.879,114,114,114,34.5990666666667,34.6085,12.245,0,0.0666666666666666,0.0614035087719298,2.13210674429888,0,0.0435672514619883,0.0350877192982456,6.72132992811199,0,0.0157894736842105,0.0087719298245614,4.21968942495666,0,0,0,1.85482047123485,0,0,0,4.21542718624222,0,0,0,1.56396761133603,0,0,0,4.30835545837888,0,0,0,1.30345057052825,0,0,0,1.78546965439393,0,0,0,1.82556689805363
"I_50_15_S_1-9_1",36,36,38.1333333333333,38,48.7376,52.1875,2.826,36,37.3666666666667,37,43.0524,52.1525,1.468,36,37.1,37,48.4015666666667,55.0895,2.805,36,36.6333333333333,36,41.2295,35.049,0.937,36,36.4666666666667,36,21.1093,11.831,2.083,36,36.1666666666667,36,21.9376,11.165,0.998,36,36,36,14.1681666666667,10.1005,2.089,36,36,36,14.4869,11,2.553,36,36,36,10.4066333333333,8.6255,2.056,36,36,36,12.9539666666667,10.9205,1.571,0,0.0592592592592592,0.0555555555555556,16.2461429582449,0,0.037962962962963,0.0277777777777778,28.3272479564033,0,0.0305555555555556,0.0277777777777778,16.2554604872252,0,0.0175925925925926,0,43.0016008537887,0,0.012962962962963,0,9.13408545367259,0,0.00462962962962956,0,20.9815631262525,0,0,0,5.78227221956279,0,0,0,4.67446141793968,0,0,0,4.06159208819715,0,0,0,7.24568215573944
"I_50_15_S_1-49_1",59,59,63.2,62,67.8900333333333,67.954,25.331,59,60.5666666666667,60,63.5172666666667,69.921,14.384,59,60.2,60,56.9551,62.0795,7.277,59,59,59,41.8893,31.789,8.732,59,59.1333333333333,59,31.5287,27.433,3.216,59,59,59,36.2623,28.947,7.909,59,59,59,31.7198666666667,30.777,4.714,59,59,59,31.6142666666667,30.3625,15.44,59,59,59,26.0213,23.9945,10.992,59,59,59,29.6727333333333,28.833,7.694,0,0.0711864406779661,0.0508474576271186,1.68011658968589,0,0.0265536723163842,0.0169491525423729,3.41582777159807,0,0.0203389830508475,0.0169491525423729,6.82672804727223,0,0,0,3.79721713238662,0,0.00225988700564971,0,8.80370024875622,0,0,0,3.58494120622076,0,0,0,5.72886437561872,0,0,0,1.04755613126079,0,0,0,1.36729439592431,0,0,0,2.85660687981977
"I_50_15_S_1-99_1",78,78,80.7333333333333,79,43.0468333333333,52.298,3.659,78,78.6333333333333,78,34.7797666666667,32.137,10.612,78,78,78,26.5544333333333,20.656,4.141,78,78,78,23.2709,20.196,4.313,78,78,78,19.8579666666667,18.7605,6.887,78,78,78,20.7892,19.6255,11.033,78,78,78,22.8442666666667,23.7945,13.4,78,78,78,20.7760666666667,21.029,9.473,78,78,78,20.7195666666667,19.2665,8.258,78,78,78,21.1687333333333,21.1705,7.564,0,0.0350427350427351,0.0128205128205128,10.764644256172,0,0.00811965811965821,0,2.27739979896972,0,0,0,5.41256540288175,0,0,0,4.39552515650359,0,0,0,1.88339867382992,0,0,0,0.884274449379135,0,0,0,0.704796019900497,0,0,0,1.19318765614554,0,0,0,1.50902962783563,0,0,0,1.79861625242376
"I_50_15_S_1-124_1",75,75,84.2666666666667,86,82.8071666666667,88.6025,15.611,75,80.3666666666667,81,89.2191333333333,94.3535,29.409,75,77.3,76,79.9393,88.3975,10.742,75,76.3333333333333,75,81.6381666666667,89.727,15.891,75,75.5333333333333,75,67.5662333333333,69.066,20.166,75,75,75,78.7753666666667,72.3445,34.968,75,75,75,65.5384333333333,63.573,18.774,75,75,75,72.3908,64.4575,23.325,75,75,75,62.0679666666667,59.16,21.316,75,75,75,65.6621,59.646,20.717,0,0.123555555555556,0.146666666666667,4.30441141929836,0,0.0715555555555555,0.08,2.03373570448956,0,0.0306666666666666,0.0133333333333333,6.44175200148948,0,0.0177777777777777,0,4.13738384410463,0,0.00711111111111109,0,2.35050249595028,0,0,0,1.25278445054526,0,0,0,2.4909147402436,0,0,0,2.10357127545552,0,0,0,1.91180177644336,0,0,0,2.16947917169474
"I_50_20_S_1-9_1",31,31,32.9666666666667,33,70.2147333333333,74.591,5.102,31,32.2,32,70.8834,79.508,3.585,31,31.9,32,50.7256333333333,62.411,3.429,31,31.4666666666667,31,46.8595,30.34,1.395,31,31.0666666666667,31,22.5202333333333,11.4155,1.161,31,31,31,16.5233333333333,15.0785,0.92,31,31,31,12.4808666666667,8.1875,1.549,31,31,31,10.2584,7.9505,2.022,31,31,31,9.91476666666667,6.852,2.334,31,31,31,11.8852333333333,8.8895,1.115,0,0.0634408602150538,0.0645161290322581,12.762197830916,0,0.0387096774193549,0.032258064516129,18.7722175732218,0,0.0290322580645161,0.032258064516129,13.7931272479829,0,0.0150537634408602,0,32.5910394265233,0,0.00215053763440859,0,18.3972724662647,0,0,0,16.9601449275362,0,0,0,7.05737034646008,0,0,0,4.07339268051434,0,0,0,3.24797200799772,0,0,0,9.65940209267564
"I_50_20_S_1-49_1",39,39,44.2666666666667,44,101.487833333333,97.4075,67.355,39,42.9666666666667,43,111.7991,116.9325,12.9,39,40.5666666666667,40.5,78.4185666666667,88.4545,14.147,39,39.6333333333333,39,84.3751666666667,84.5545,14.982,39,39.7,39,54.7668666666667,53.1,11.434,39,39,39,54.1508333333333,43.4415,7.398,39,39,39,44.2737666666667,39.865,11.45,39,39,39,42.8117,44.3985,10.356,39,39,39,45.9026666666667,40.177,10.732,39,39,39,53.0057666666667,42.779,17.89,0,0.135042735042735,0.128205128205128,0.506760200925445,0,0.101709401709402,0.102564102564103,7.66659689922481,0,0.0401709401709403,0.0384615384615385,4.54312339483047,0,0.0162393162393162,0,4.63176923419214,0,0.017948717948718,0,3.78982566614192,0,0,0,6.31965846625214,0,0,0,2.86670451237264,0,0,0,3.13399961375048,0,0,0,3.27717728910424,0,0,0,1.9628712502329
