fo	n	time
827.3000018596649	10	11.244
827.3000018596649	10	1.836
827.3000018596649	10	3.463
827.3000018596649	10	11.066
827.3000018596649	10	9.72
827.3000018596649	10	1.176
827.3000018596649	10	8.187
827.3000018596649	10	6.022
827.3000018596649	10	1.893
827.3000018596649	10	2.545
827.3000018596649	10	4.106
827.3000018596649	10	5.336
827.3000018596649	10	1.11
827.3000018596649	10	0.68
827.3000018596649	10	3.598
828.0000026226044	10	1.243
827.3000018596649	10	2.993
827.3000018596649	10	1.337
827.3000018596649	10	0.91
827.3000018596649	10	1.072
827.3000018596649	10	7.48
827.3000018596649	10	2.597
827.3000018596649	10	6.23
827.3000018596649	10	2.523
827.3000018596649	10	5.054
827.3000018596649	10	5.031
827.3000018596649	10	6.349
827.3000018596649	10	4.37
827.3000018596649	10	3.976
827.3000018596649	10	1.338
