fo 	n	time
589.1000030040741	3	4.552
589.1000030040741	3	1.313
589.1000030040741	3	3.733
589.1000030040741	3	5.419
589.1000030040741	3	5.86
589.1000030040741	3	7.429
589.1000030040741	3	3.181
589.1000030040741	3	3.149
589.1000030040741	3	2.784
589.1000030040741	3	6.353
589.1000030040741	3	2.652
589.1000030040741	3	2.273
589.1000030040741	3	0.353
589.1000030040741	3	1.105
589.1000030040741	3	4.119
589.1000030040741	3	5.712
589.1000030040741	3	0.295
589.1000030040741	3	8.225
589.1000030040741	3	7.112
589.1000030040741	3	4.827
589.1000030040741	3	3.856
589.1000030040741	3	7.28
589.1000030040741	3	4.67
589.1000030040741	3	5.25
589.1000030040741	3	6.949
589.1000030040741	3	4.916
589.1000030040741	3	7.067
589.1000030040741	3	7.961
589.1000030040741	3	8.177
589.1000030040741	3	7.774
