fo 	n	 time
586.0000026226044	3	1.412
586.4000027179718	3	0.93
586.0000026226044	3	0.682
586.0000026226044	3	0.837
586.0000026226044	3	0.645
586.0000026226044	3	0.663
586.0000026226044	3	0.571
586.0000026226044	3	0.574
586.0000026226044	3	4.221
586.4000027179718	3	7.359
586.0000026226044	3	0.916
586.0000026226044	3	6.676
586.0000026226044	3	3.037
586.4000027179718	3	2.828
586.0000026226044	3	3.134
586.0000026226044	3	2.852
587.5000021457672	3	15.89
586.0000026226044	3	1.038
586.0000026226044	3	9.765
586.0000026226044	3	6.77
586.0000026226044	3	0.773
586.0000026226044	3	2.558
586.0000026226044	3	0.682
586.0000026226044	3	1.623
586.0000026226044	3	7.121
586.0000026226044	3	4.891
586.0000026226044	3	5.189
586.0000026226044	3	1.901
586.0000026226044	3	0.786
586.4000027179718	3	2.127
