fo 	n	 time
1287.0000001192093	12	398.221
1305.1999988555908	12	470.864
1270.4999986886978	13	457.405
1289.299997806549	12	283.234
1272.7999968528748	12	395.857
1267.7000002861023	13	427.701
1312.100001335144	12	284.774
1343.0999989509583	12	322.927
1277.699993610382	12	418.806
1256.499995470047	12	395.908
1281.1000020503998	13	373.01
1269.2999970912933	13	318.645
1246.8000013828278	13	411.608
1319.4000000953674	12	401.567
1276.399997472763	13	434.423
1277.3999963998795	12	341.142
1259.8999954462051	12	364.933
1302.9000008106232	12	93.858
1268.6999996900558	12	404.432
1266.999997496605	13	360.597
1279.3999979496002	12	415.768
1304.999997138977	12	394.458
1263.9999957084656	12	410.736
1301.6000001430511	12	334.24
1302.1000038385391	12	180.01
1260.6000003814697	13	388.733
1307.800000667572	12	232.413
1297.5000035762787	12	326.637
1269.5000017881393	13	442.914
1308.3999993801117	12	297.579
