fo	n	time
846.3999956846237	3	111.504
848.3999998569489	3	129.913
839.0000001192093	3	168.099
853.0999954938889	3	142.178
829.9000014066696	3	135.132
916.8999968767166	2	98.527
836.3999992609024	3	168.403
870.3999993801117	3	125.005
831.9999976158142	3	143.573
858.0000025033951	3	152.736
856.4000004529953	3	168.151
841.699999332428	3	143.783
871.1999992132187	3	124.44
868.2000000476837	3	157.658
851.0999957323074	3	143.032
834.8999998569489	3	138.024
838.19999730587	3	147.45
857.0999975204468	3	145.202
871.3999981880188	3	159.906
841.2999950647354	3	150.927
837.7999973297119	3	127.388
832.3999993801117	3	140.846
862.599995970726	3	111.843
834.2999974489212	3	142.104
813.5	3	104.793
863.4999984502792	3	143.195
901.49999833107	2	131.522
857.1999994516373	3	97.536
825.3999980688095	3	143.803
829.0999976396561	3	141.355
