fo	n	time
1115.7000036239624	3	89.408
1111.8000011444092	3	79.773
1090.3000059127808	3	40.412
1128.9000053405762	3	54.778
1141.400006055832	3	45.592
1101.700003862381	3	70.544
1086.6000018119812	3	91.748
1102.400004863739	3	70.443
1113.9999995231628	3	91.586
1111.0000040531158	3	70.403
1115.0000019073486	3	77.805
1180.0000076293945	3	59.407
1118.0	3	65.473
1104.6000044345856	3	71.882
1104.4000029563904	3	82.891
1107.1999998092651	3	70.208
1106.000005722046	3	56.07
1126.8000001907349	3	68.946
1151.6000032424927	3	57.678
1092.5000004768372	3	79.933
1087.9000034332275	3	67.764
1082.500004529953	3	72.328
1115.4000072479248	3	87.113
1116.7000048160553	3	56.637
1092.9000024795532	3	79.12
1133.9000005722046	3	79.133
1097.0000052452087	3	73.131
1140.5000059604645	3	22.408
1084.1000056266785	3	55.914
1105.00000166893	3	80.978
