fo	n	time
827.3000018596649	10	1.981
827.3000018596649	10	1.849
827.3000018596649	10	1.795
827.3000018596649	10	2.18
827.3000018596649	10	2.821
827.3000018596649	10	2.064
827.3000018596649	10	2.411
827.3000018596649	10	1.867
827.3000018596649	10	2.124
827.3000018596649	10	2.447
827.3000018596649	10	11.523
827.3000018596649	10	3.506
827.3000018596649	10	2.443
827.3000018596649	10	2.375
827.3000018596649	10	1.879
827.3000018596649	10	1.975
827.3000018596649	10	2.451
827.3000018596649	10	1.713
827.3000018596649	10	1.572
827.3000018596649	10	3.087
827.3000018596649	10	2.828
827.3000018596649	10	3.764
827.3000018596649	10	1.82
827.3000018596649	10	1.683
827.3000018596649	10	2.328
827.3000018596649	10	2.737
827.3000018596649	10	1.564
827.3000018596649	10	4.488
827.3000018596649	10	2.96
827.3000018596649	10	1.879
