fo 	n	time
589.1000030040741	3	1.09
589.1000030040741	3	0.982
589.1000030040741	3	1.086
589.1000030040741	3	0.944
589.1000030040741	3	4.314
589.1000030040741	3	2.488
589.1000030040741	3	2.395
589.1000030040741	3	2.569
589.1000030040741	3	4.502
589.1000030040741	3	2.667
589.1000030040741	3	2.311
589.1000030040741	3	2.632
589.1000030040741	3	7.125
589.1000030040741	3	5.142
589.1000030040741	3	0.968
589.1000030040741	3	4.896
589.1000030040741	3	4.391
589.1000030040741	3	2.912
589.1000030040741	3	1.428
589.1000030040741	3	1.225
589.1000030040741	3	1.722
589.1000030040741	3	3.499
589.1000030040741	3	1.452
589.1000030040741	3	3.351
589.1000030040741	3	1.122
589.1000030040741	3	0.803
589.1000030040741	3	4.499
589.1000030040741	3	2.301
589.1000030040741	3	0.934
589.1000030040741	3	0.91
