fo 	n	 time
586.0000026226044	3	1.201
586.0000026226044	3	1.77
586.0000026226044	3	1.115
586.0000026226044	3	1.222
586.0000026226044	3	1.284
586.0000026226044	3	1.449
586.0000026226044	3	1.21
586.0000026226044	3	1.126
586.0000026226044	3	1.016
586.0000026226044	3	1.054
586.0000026226044	3	1.049
586.0000026226044	3	1.073
586.0000026226044	3	1.235
586.0000026226044	3	1.409
586.0000026226044	3	1.066
586.0000026226044	3	1.338
586.0000026226044	3	1.061
586.0000026226044	3	1.54
586.0000026226044	3	1.33
586.0000026226044	3	0.994
586.0000026226044	3	1.236
586.0000026226044	3	1.33
586.0000026226044	3	1.212
586.0000026226044	3	1.213
586.0000026226044	3	1.079
586.0000026226044	3	1.003
586.0000026226044	3	0.967
586.0000026226044	3	1.21
586.0000026226044	3	1.213
586.0000026226044	3	1.105
