fo 	n	 time
1259.8999953269958	12	250.763
1266.3999938964844	12	144.768
1320.1999979019165	12	385.682
1276.300000667572	12	346.459
1296.099996805191	12	297.64
1270.4000017642975	12	411.01
1263.0000030994415	12	304.064
1282.1000003814697	12	434.121
1270.39999461174	12	398.457
1283.0999974012375	12	359.586
1262.299998998642	12	244.085
1278.2999949455261	12	333.787
1265.099996805191	12	447.685
1264.2999956607819	12	383.341
1266.8999962806702	12	408.573
1266.49999666214	12	385.115
1270.2999979257584	12	298.546
1272.9999990463257	12	425.938
1283.4999953508377	12	245.245
1281.000005722046	12	358.598
1265.599993944168	12	433.012
1270.1999979019165	12	367.102
1263.0999944210052	12	451.205
1268.9999990463257	12	470.92
1258.4999969005585	12	384.454
1271.8999979496002	12	359.947
1268.699996471405	12	277.154
1265.2999980449677	12	415.737
1287.199998497963	12	427.221
1285.3999968767166	12	273.394
