fo	n	time
1261.4000012874603	4	127.531
1263.2999985218048	4	42.936
1263.2999982833862	4	116.841
1269.1000010967255	4	87.628
1265.700001001358	4	111.416
1262.3000009059906	4	147.81
1274.6000003814697	4	146.456
1272.6000003814697	4	131.632
1265.7000000476837	4	160.474
1266.0000014305115	4	129.541
1259.1000015735626	4	151.669
1254.7999999523163	4	94.78
1260.2999999523163	4	130.651
1254.2000005245209	4	136.392
1261.2999999523163	4	159.685
1272.0000009536743	4	130.499
1261.4000012874603	4	40.569
1268.0999991893768	4	90.403
1279.1000032424927	4	136.105
1268.7000005245209	4	153.981
1258.0000007152557	4	134.798
1251.900000333786	4	150.447
1267.1000006198883	4	150.255
1268.7000005245209	4	118.514
1261.6000006198883	4	110.295
1252.3999989032745	4	142.39
1260.3000009059906	4	111.959
1265.6000015735626	4	142.386
1270.800001859665	4	98.593
1270.400003194809	4	94.953
