fo	n	time
1645.000006198883	15	366.132
1642.7000060081482	15	372.811
1636.0000109672546	15	180.428
1639.7000088691711	15	219.423
1640.0000071525574	15	404.859
1639.9000096321106	15	189.657
1651.5000071525574	15	169.877
1644.5000038146973	15	278.755
1649.5000109672546	15	238.33
1653.4000096321106	15	372.999
1640.0000109672546	15	413.478
1649.8000054359436	15	389.345
1647.7000107765198	15	177.437
1644.9000034332275	15	278.094
1650.2000060081482	15	216.25
1631.4000086784363	15	322.631
1645.10000705719	15	310.849
1649.900011062622	15	359.095
1637.7000060081482	15	347.733
1639.8000078201294	15	365.92
1635.500009059906	15	257.208
1641.2000060081482	15	426.525
1637.800006389618	15	386.985
1634.9000067710876	15	337.106
1648.7000079154968	15	426.601
1649.2000079154968	15	295.849
1652.1000037193298	15	339.453
1659.5000052452087	15	381.356
1632.2000088691711	15	319.158
1657.2000069618225	15	404.873
