fo 	n	time
589.1000030040741	3	2.14
589.1000030040741	3	1.109
589.1000030040741	3	4.116
589.1000030040741	3	4.328
589.1000030040741	3	0.689
589.1000030040741	3	0.998
589.1000030040741	3	1.56
589.1000030040741	3	4.569
589.1000030040741	3	1.442
589.1000030040741	3	3.493
589.1000030040741	3	1.3
589.1000030040741	3	2.324
589.1000030040741	3	0.904
589.1000030040741	3	0.818
589.1000030040741	3	0.625
589.1000030040741	3	1.869
589.1000030040741	3	4.199
589.1000030040741	3	0.657
589.1000030040741	3	3.314
589.1000030040741	3	1.672
589.1000030040741	3	1.393
589.1000030040741	3	1.691
589.1000030040741	3	3.894
589.1000030040741	3	3.725
589.1000030040741	3	0.761
589.1000030040741	3	4.205
589.1000030040741	3	4.403
589.1000030040741	3	5.876
589.1000030040741	3	4.393
589.1000030040741	3	2.002
