fo 	n	 time
586.0000026226044	3	0.976
586.0000026226044	3	1.228
586.0000026226044	3	1.238
586.0000026226044	3	1.132
586.0000026226044	3	1.125
586.0000026226044	3	1.045
586.0000026226044	3	0.98
586.0000026226044	3	1.292
586.0000026226044	3	0.834
586.0000026226044	3	1.978
586.0000026226044	3	0.939
586.0000026226044	3	1.163
586.0000026226044	3	2.898
586.0000026226044	3	1.005
586.0000026226044	3	1.267
586.0000026226044	3	1.133
586.0000026226044	3	0.937
586.0000026226044	3	1.048
586.0000026226044	3	0.951
586.0000026226044	3	1.225
586.0000026226044	3	0.883
586.0000026226044	3	1.842
586.0000026226044	3	0.961
586.0000026226044	3	1.091
586.0000026226044	3	1.09
586.0000026226044	3	0.978
586.0000026226044	3	1.241
586.0000026226044	3	1.026
586.0000026226044	3	0.993
586.0000026226044	3	1.488
