fo	n	time
585.8000028133392	3	3.168
585.8000028133392	3	5.311
586.2000029087067	3	4.225
585.8000028133392	3	2.607
585.8000028133392	3	3.0
585.8000028133392	3	3.43
585.8000028133392	3	2.679
585.8000028133392	3	3.364
585.8000028133392	3	4.254
585.8000028133392	3	1.544
585.8000028133392	3	1.615
585.8000028133392	3	5.742
585.8000028133392	3	2.246
585.8000028133392	3	1.084
587.3000023365021	3	2.7
585.8000028133392	3	2.26
585.8000028133392	3	1.397
585.8000028133392	3	7.525
585.8000028133392	3	1.44
585.8000028133392	3	2.648
585.8000028133392	3	1.207
585.8000028133392	3	1.399
585.8000028133392	3	1.452
585.8000028133392	3	3.09
585.8000028133392	3	1.098
585.8000028133392	3	2.37
586.2000029087067	3	3.29
585.8000028133392	3	1.2
585.8000028133392	3	1.729
585.8000028133392	3	1.055
