fo 	n	 time
1287.0999977588654	12	379.764
1295.899997472763	12	432.602
1268.0999941825867	12	367.701
1273.2999942302704	12	385.221
1264.8999967575073	12	370.598
1262.5999948978424	12	349.891
1290.5999991893768	12	419.332
1266.8999955654144	12	326.134
1268.099993944168	12	296.489
1263.6999955177307	12	336.529
1290.1000010967255	12	253.668
1258.599996805191	12	297.527
1272.3999960422516	12	228.719
1282.4999952316284	12	451.237
1277.0999946594238	12	411.059
1260.0999941825867	12	269.956
1272.0999954938889	12	442.708
1281.8999989032745	12	241.52
1271.9000021219254	12	414.951
1273.0999944210052	12	374.811
1271.2999992370605	12	284.855
1278.599999666214	12	431.94
1296.299998998642	12	370.651
1270.699998140335	12	428.75
1260.6999969482422	12	352.694
1273.5999953746796	12	407.628
1288.900001525879	12	343.868
1278.7999992370605	12	401.659
1284.4999992847443	12	427.073
1282.2000029087067	12	335.372
