fo	n	time
971.9999982118607	3	115.637
966.3999961614609	3	91.06
978.0999972820282	3	139.364
975.1999952793121	3	110.202
972.7000014781952	3	128.448
975.199996471405	3	104.179
964.9999974966049	3	129.933
961.0999989509583	3	101.71
956.4999976158142	3	126.244
961.499997138977	3	133.038
981.7999947071075	3	118.271
963.0999991893768	3	128.447
972.1999971866608	3	152.812
977.3999991416931	3	115.041
974.6999994516373	3	128.737
966.0999970436096	3	133.626
975.2999968528748	3	131.183
966.9999961853027	3	73.401
963.3999972343445	3	139.937
970.7999975681305	3	142.381
971.2000000476837	3	140.166
971.7999956607819	3	123.532
971.5999963283539	3	157.41
956.699999332428	3	94.804
965.4999940395355	3	150.419
972.69999730587	3	72.565
956.3999955654144	3	125.121
983.5999984741211	3	94.942
966.8000004291534	3	102.159
977.6999957561493	3	137.75
