fo	n	time
1109.1000022888184	3	95.902
1120.3000059127808	3	123.818
1101.0000047683716	3	130.507
1105.1000039577484	3	160.232
1110.200008392334	3	37.055
1135.9000072479248	3	98.413
1106.1000056266785	3	132.039
1088.1000061035156	3	136.198
1112.200005531311	3	115.294
1089.9000053405762	3	95.903
1101.4000051021576	3	55.721
1083.800006389618	3	147.295
1113.1000037193298	3	89.087
1105.9000029563904	3	132.447
1095.3000044822693	3	130.491
1116.0000047683716	3	138.268
1071.000006198883	3	128.479
1083.7000019550323	3	150.097
1093.8000011444092	3	98.928
1089.00000333786	3	80.223
1099.8000054359436	3	49.394
1110.4000027179718	3	151.89
1094.300005197525	3	60.225
1128.7000012397766	3	103.866
1105.5000066757202	3	134.218
1116.0000040531158	3	128.126
1065.600009918213	3	131.909
1114.9000039100647	3	147.407
1098.3000059127808	3	106.093
1098.7000045776367	3	136.358
