fo 	n	 time
586.4000027179718	3	4.589
588.2000024318695	3	8.111
586.0000026226044	3	2.904
586.0000026226044	3	0.56
586.0000026226044	3	0.663
586.4000027179718	3	5.65
586.0000026226044	3	4.637
586.0000026226044	3	4.44
586.0000026226044	3	13.085
586.0000026226044	3	8.703
586.0000026226044	3	0.849
586.0000026226044	3	0.557
586.0000026226044	3	1.531
586.0000026226044	3	3.626
586.0000026226044	3	3.014
586.0000026226044	3	0.644
586.0000026226044	3	0.677
586.0000026226044	3	6.114
586.0000026226044	3	0.834
586.0000026226044	3	0.684
586.0000026226044	3	2.997
586.0000026226044	3	0.932
586.0000026226044	3	0.536
586.0000026226044	3	1.476
586.0000026226044	3	0.76
586.0000026226044	3	0.542
586.0000026226044	3	2.433
586.0000026226044	3	0.446
586.0000026226044	3	9.746
586.4000027179718	3	5.23
