fo 	n	 time
1269.1999971866608	13	402.803
1267.4999957084656	13	306.115
1266.4999949932098	13	400.355
1296.4000062942505	13	452.521
1267.5000014305115	13	421.632
1257.9000010490417	13	123.353
1257.9000021219254	13	363.086
1329.6999988555908	12	374.322
1281.5999997854233	13	375.386
1265.199997663498	13	251.677
1274.999998807907	12	228.765
1276.1999988555908	13	302.813
1271.299997806549	13	323.764
1265.6999979019165	13	178.8
1284.4999976158142	12	297.811
1303.4000002145767	12	333.963
1301.1999959945679	12	347.689
1296.4000000953674	12	222.566
1256.2999958992004	13	273.086
1282.8000040054321	13	345.327
1271.9999972581863	13	373.151
1271.4999985694885	13	193.487
1270.6999951601028	12	250.23
1272.000000834465	13	264.149
1275.7000039815903	13	382.86
1299.1999959945679	12	155.671
1276.2999997138977	13	296.149
1271.9000004529953	13	281.469
1275.6999979019165	13	298.187
1271.0999944210052	13	198.618
