fo	n	time
1105.30000269413	4	80.225
1131.099999666214	4	125.072
1146.2000000476837	4	126.535
1101.6999980211258	4	58.005
1111.0000032186508	4	179.734
1115.8000003099442	4	112.927
1117.4999990463257	4	141.005
1121.900006890297	4	128.114
1130.5000005960464	4	165.721
1131.1999979019165	4	97.252
1102.8000001907349	4	79.918
1104.1999980211258	4	160.2
1103.3000000715256	4	165.413
1098.699997663498	4	131.081
1154.8000013828278	4	143.266
1122.4999995231628	4	167.368
1140.8000028133392	4	182.15
1126.3000000715256	4	139.555
1125.4000006914139	4	181.253
1126.8999981880188	4	163.415
1099.99999833107	4	155.254
1144.200000166893	4	113.284
1130.2000000476837	4	134.301
1130.7000023126602	4	153.329
1098.1999980211258	4	125.602
1112.2999988794327	4	115.188
1147.9999985694885	4	138.859
1098.6000012159348	4	116.454
1132.9000042676926	4	134.987
1107.9000009298325	4	112.871
