fo	n	time
1191.0000047683716	11	105.248
1183.4999997615814	11	86.526
1170.6000037193298	11	176.076
1154.4000024795532	11	158.261
1171.4000039100647	11	193.379
1157.900002002716	11	187.164
1173.3000011444092	11	168.177
1150.2000041007996	11	197.848
1160.5000042915344	11	96.476
1168.8000054359436	11	158.317
1154.5000035762787	11	135.723
1186.6000077724457	11	107.775
1165.2000060081482	11	120.11
1198.3000028133392	11	179.452
1172.9000086784363	11	188.461
1160.3000025749207	11	159.662
1190.0000014305115	11	92.468
1137.700002193451	11	137.047
1159.100001335144	11	172.904
1167.4000029563904	11	193.207
1168.700002670288	11	137.186
1168.2000031471252	11	116.858
1181.9000058174133	11	46.595
1188.1000015735626	10	119.737
1187.600003004074	11	161.794
1152.3000016212463	10	190.607
1201.2000045776367	10	196.11
1165.300003528595	11	148.38
1143.4999980926514	11	156.777
1159.4000024795532	11	192.12
