fo	n	time
589.1000030040741	3	7.423
648.4000041484833	3	5.937
589.1000030040741	3	6.725
664.8000013828278	3	19.945
589.1000030040741	3	12.058
660.9000055789948	3	22.057
648.4000041484833	3	17.001
617.9000022411346	3	4.917
660.9000055789948	3	4.448
660.9000055789948	3	4.457
589.1000030040741	3	8.251
589.1000030040741	3	7.977
589.1000030040741	3	21.05
589.1000030040741	3	11.715
660.9000055789948	3	2.955
589.1000030040741	3	22.603
589.1000030040741	3	17.405
589.1000030040741	3	12.457
617.9000022411346	3	0.437
738.500004529953	3	14.175
589.1000030040741	3	9.705
589.1000030040741	3	14.58
589.1000030040741	3	7.674
589.1000030040741	3	24.085
648.4000041484833	3	7.759
589.1000030040741	3	0.206
589.1000030040741	3	16.789
589.1000030040741	3	7.487
589.1000030040741	3	4.16
754.0000007152557	3	8.729
679.5000030994415	3	2.221
589.1000030040741	3	8.112
660.3000009059906	3	9.14
675.9000041484833	3	8.828
589.1000030040741	3	9.807
589.1000030040741	3	13.352
692.400003194809	3	23.67
648.4000041484833	3	6.786
648.4000041484833	3	25.703
589.1000030040741	3	11.422
648.4000041484833	3	15.211
675.9000041484833	3	17.446
589.1000030040741	3	7.245
679.5000030994415	3	5.715
589.1000030040741	3	8.059
589.1000030040741	3	6.675
589.1000030040741	3	2.534
601.4000036716461	3	25.74
660.9000055789948	3	8.564
589.1000030040741	3	2.735
589.1000030040741	3	5.931
589.1000030040741	3	13.42
648.4000041484833	3	3.464
589.1000030040741	3	22.15
617.9000022411346	3	2.412
589.1000030040741	3	21.396
589.1000030040741	3	21.56
589.1000030040741	3	3.217
589.1000030040741	3	20.209
589.1000030040741	3	15.268
589.1000030040741	3	8.529
589.1000030040741	3	9.214
680.8000018596649	3	10.974
589.1000030040741	3	9.199
608.6000030040741	3	25.477
589.1000030040741	3	6.928
617.9000022411346	3	8.684
605.2000029087067	3	23.201
589.1000030040741	3	9.284
589.1000030040741	3	7.832
589.1000030040741	3	16.502
589.1000030040741	3	8.178
589.1000030040741	3	1.893
589.1000030040741	3	21.012
589.1000030040741	3	3.885
648.4000041484833	3	22.225
648.4000041484833	3	4.377
589.1000030040741	3	3.773
648.4000041484833	3	15.195
617.9000022411346	3	10.552
589.1000030040741	3	2.34
589.1000030040741	3	2.366
617.9000022411346	3	10.469
687.8000037670135	3	2.239
589.1000030040741	3	10.39
589.1000030040741	3	14.491
589.1000030040741	3	6.619
589.1000030040741	3	20.361
605.2000029087067	3	24.888
605.2000029087067	3	25.848
589.1000030040741	3	25.655
701.6000015735626	3	16.972
677.2000033855438	3	15.167
648.4000041484833	3	13.982
648.4000041484833	3	4.936
589.1000030040741	3	3.677
589.1000030040741	3	10.416
589.1000030040741	3	4.472
589.1000030040741	3	7.124
589.1000030040741	3	26.585
589.1000030040741	3	5.694
589.1000030040741	3	13.483
589.1000030040741	3	26.957
589.1000030040741	3	7.123
589.1000030040741	3	1.846
689.2000033855438	3	25.0
589.1000030040741	3	2.421
617.9000022411346	3	4.253
680.8000018596649	3	5.546
589.1000030040741	3	11.24
648.4000041484833	3	1.575
700.0000002384186	3	1.307
589.1000030040741	3	7.806
589.1000030040741	3	9.006
617.9000022411346	3	14.31
648.4000041484833	3	3.136
589.1000030040741	3	6.589
589.1000030040741	3	0.814
589.1000030040741	3	2.742
617.9000022411346	3	8.239
589.1000030040741	3	10.601
648.4000041484833	3	3.591
648.4000041484833	3	25.811
589.1000030040741	3	29.472
660.9000055789948	3	16.517
589.1000030040741	3	1.901
589.1000030040741	3	22.627
589.1000030040741	3	14.494
589.1000030040741	3	2.53
589.1000030040741	3	19.146
589.1000030040741	3	3.099
589.1000030040741	3	9.835
589.1000030040741	3	6.327
617.9000022411346	3	6.124
589.1000030040741	3	22.859
589.1000030040741	3	15.586
589.1000030040741	3	23.13
589.1000030040741	3	8.106
589.1000030040741	3	7.321
648.4000041484833	3	4.783
589.1000030040741	3	17.931
589.1000030040741	3	8.783
589.1000030040741	3	7.072
589.1000030040741	3	0.115
589.1000030040741	3	28.307
745.2000021934509	3	5.712
589.1000030040741	3	10.677
696.8000013828278	3	13.838
648.4000041484833	3	15.14
589.1000030040741	3	11.293
589.1000030040741	3	11.85
589.1000030040741	3	17.196
660.9000055789948	3	1.908
648.4000041484833	3	10.715
793.0999977588654	3	11.98
589.1000030040741	3	15.134
589.1000030040741	3	3.335
589.1000030040741	3	16.926
589.1000030040741	3	4.573
648.4000041484833	3	3.162
648.4000041484833	3	17.323
589.1000030040741	3	15.928
648.4000041484833	3	26.154
589.1000030040741	3	5.335
589.1000030040741	3	13.152
589.1000030040741	3	27.446
589.1000030040741	3	8.239
589.1000030040741	3	10.452
589.1000030040741	3	5.879
617.9000022411346	3	3.771
648.4000041484833	3	24.792
589.1000030040741	3	3.68
589.1000030040741	3	8.066
589.1000030040741	3	13.706
664.8000013828278	3	8.44
617.9000022411346	3	3.747
648.4000041484833	3	17.06
689.2000033855438	3	9.311
589.1000030040741	3	23.364
589.1000030040741	3	8.806
589.1000030040741	3	12.33
589.1000030040741	3	5.331
589.1000030040741	3	3.355
589.1000030040741	3	9.774
589.1000030040741	3	2.066
677.2000033855438	3	21.89
589.1000030040741	3	16.204
589.1000030040741	3	6.687
589.1000030040741	3	8.898
589.1000030040741	3	5.919
589.1000030040741	3	12.975
589.1000030040741	3	19.608
648.4000041484833	3	1.904
768.1000020503998	3	4.88
589.1000030040741	3	13.106
589.1000030040741	3	7.623
589.1000030040741	3	5.197
589.1000030040741	3	11.888
589.1000030040741	3	0.869
608.6000030040741	3	25.114
660.9000055789948	3	6.108
589.1000030040741	3	4.331
617.9000022411346	3	18.935
589.1000030040741	3	6.021
589.1000030040741	3	20.952
589.1000030040741	3	16.677
589.1000030040741	3	14.475
675.9000041484833	3	4.998
589.1000030040741	3	10.317
589.1000030040741	3	2.274
589.1000030040741	3	15.806
589.1000030040741	3	13.252
617.9000022411346	3	4.369
589.1000030040741	3	11.758
589.1000030040741	3	6.285
648.4000041484833	3	1.537
617.9000022411346	3	10.698
648.4000041484833	3	7.609
589.1000030040741	3	11.17
589.1000030040741	3	18.374
648.4000041484833	3	9.325
589.1000030040741	3	19.216
589.1000030040741	3	19.634
589.1000030040741	3	9.784
589.1000030040741	3	6.606
589.1000030040741	3	2.842
589.1000030040741	3	21.103
589.1000030040741	3	24.251
589.1000030040741	3	10.686
689.2000033855438	3	10.966
589.1000030040741	3	12.72
589.1000030040741	3	14.039
664.8000013828278	3	10.833
589.1000030040741	3	0.134
589.1000030040741	3	2.696
761.1000001430511	3	2.587
762.399998664856	3	4.642
648.4000041484833	3	19.239
747.400003194809	3	25.763
589.1000030040741	3	8.228
589.1000030040741	3	17.283
589.1000030040741	3	6.047
589.1000030040741	3	20.896
605.2000029087067	3	27.842
589.1000030040741	3	22.981
589.1000030040741	3	6.784
662.5000021457672	3	8.832
589.1000030040741	3	4.354
589.1000030040741	3	14.729
589.1000030040741	3	1.608
589.1000030040741	3	14.355
589.1000030040741	3	4.417
589.1000030040741	3	3.768
589.1000030040741	3	0.101
617.9000022411346	3	9.441
589.1000030040741	3	7.547
589.1000030040741	3	5.448
677.2000033855438	3	12.425
589.1000030040741	3	14.587
589.1000030040741	3	5.075
589.1000030040741	3	27.041
589.1000030040741	3	16.467
589.1000030040741	3	11.324
589.1000030040741	3	14.041
664.5000040531158	3	23.245
589.1000030040741	3	0.525
589.1000030040741	3	26.611
589.1000030040741	3	2.101
589.1000030040741	3	2.026
689.2000033855438	3	23.234
617.9000022411346	3	23.463
589.1000030040741	3	8.891
589.1000030040741	3	7.199
589.1000030040741	3	8.47
589.1000030040741	3	9.156
589.1000030040741	3	24.878
589.1000030040741	3	4.704
605.2000029087067	3	21.219
648.4000041484833	3	18.49
609.1000039577484	3	24.412
589.1000030040741	3	18.463
589.1000030040741	3	9.618
589.1000030040741	3	9.75
589.1000030040741	3	22.462
601.4000036716461	3	29.949
589.1000030040741	3	22.447
648.4000041484833	3	0.567
589.1000030040741	3	8.412
589.1000030040741	3	0.399
589.1000030040741	3	6.718
759.000004529953	3	16.395
589.1000030040741	3	13.655
589.1000030040741	3	4.341
589.1000030040741	3	8.045
589.1000030040741	3	11.3
589.1000030040741	3	11.035
677.2000033855438	3	10.2
589.1000030040741	3	13.722
589.1000030040741	3	1.822
589.1000030040741	3	12.645
589.1000030040741	3	13.176
648.4000041484833	3	6.124
589.1000030040741	3	1.063
589.1000030040741	3	13.599
589.1000030040741	3	8.794
589.1000030040741	3	9.803
589.1000030040741	3	13.875
589.1000030040741	3	9.825
648.4000041484833	3	9.843
589.1000030040741	3	21.503
589.1000030040741	3	9.927
589.1000030040741	3	7.328
698.600004196167	3	20.929
601.4000036716461	3	24.408
608.6000030040741	3	13.223
589.1000030040741	3	14.622
589.1000030040741	3	0.271
589.1000030040741	3	25.955
589.1000030040741	3	4.107
617.9000022411346	3	1.978
648.4000041484833	3	18.645
589.1000030040741	3	1.767
589.1000030040741	3	8.722
589.1000030040741	3	26.812
589.1000030040741	3	12.636
648.4000041484833	3	8.832
589.1000030040741	3	0.995
589.1000030040741	3	7.827
648.4000041484833	3	14.39
589.1000030040741	3	15.533
589.1000030040741	3	0.836
589.1000030040741	3	5.685
648.4000041484833	3	3.924
648.4000041484833	3	4.54
648.4000041484833	3	8.655
589.1000030040741	3	1.12
589.1000030040741	3	3.303
589.1000030040741	3	2.628
589.1000030040741	3	9.777
589.1000030040741	3	3.49
589.1000030040741	3	18.643
589.1000030040741	3	4.435
589.1000030040741	3	10.907
589.1000030040741	3	19.765
609.1000039577484	3	29.439
617.9000022411346	3	13.784
589.1000030040741	3	0.966
752.8000047206879	3	7.048
