fo	n	time
1260.5000050067902	12	91.535
1270.9000084400177	12	88.182
1254.4000024795532	11	79.429
1339.2000045776367	12	102.54
1283.7000114917755	12	89.132
1312.2000076770782	12	57.26
1271.4000051021576	12	137.289
1329.9000070095062	12	25.156
1309.5000081062317	12	139.212
1270.9000055789948	11	29.943
1316.4000043869019	12	83.252
1311.8000054359436	11	152.053
1289.6000051498413	12	33.204
1296.9000058174133	12	58.372
1336.6000037193298	12	39.789
1292.4000091552734	12	123.442
1272.6000072956085	12	56.369
1278.1000063419342	12	72.338
1335.9000053405762	13	178.806
1300.1000032424927	12	60.351
1338.1000077724457	12	37.792
1276.200002193451	12	135.011
1290.9000067710876	12	117.338
1287.8000094890594	12	70.091
1322.3000085353851	12	114.342
1297.9000086784363	12	124.211
1270.9999995231628	11	113.15
1317.5000038146973	12	97.267
1301.6000065803528	12	87.179
1312.5999999046326	12	126.936
1300.4000051021576	12	98.36
1255.0000052452087	11	118.254
1275.8000042438507	12	58.83
1285.9000084400177	11	121.372
1267.500005722046	11	130.155
1315.2000069618225	12	134.191
1285.7000007629395	11	123.965
1283.6000061035156	12	132.914
1272.1000034809113	11	141.4
1310.100004196167	12	126.151
1281.600005865097	11	63.552
1297.200002670288	12	124.884
1276.5000069141388	12	114.372
1268.8000061511993	11	129.346
1388.9000072479248	12	94.502
1330.3000066280365	12	129.575
1301.2000036239624	12	130.697
1300.10000872612	12	138.578
1282.9000070095062	12	119.454
1291.2000041007996	12	109.091
1305.6000046730042	12	143.353
1316.400009393692	12	138.296
1350.6000044345856	12	97.503
1428.8000056743622	12	48.518
1268.4000034332275	11	138.353
1380.7000048160553	12	111.541
1293.7000048160553	12	122.177
1332.8000016212463	12	129.58
1304.0000097751617	12	181.803
1238.10000705719	11	137.784
1343.400001525879	12	66.016
1310.7000079154968	11	105.632
1281.4000070095062	12	135.262
1319.0000047683716	12	107.404
1307.4000036716461	12	59.469
1297.3000011444092	12	123.889
1300.800006389618	12	139.029
1305.7000069618225	12	130.548
1296.100004196167	11	46.457
1300.6000037193298	12	104.729
1310.900006055832	11	158.555
1286.4000024795532	12	96.773
1280.3000025749207	12	99.067
1289.5000050067902	12	28.475
1295.300006866455	12	84.981
1303.4000034332275	12	152.525
1372.200007200241	11	118.991
1324.0000071525574	12	98.491
1279.300006866455	12	117.664
1273.7000081539154	12	115.461
1313.0999987125397	12	144.193
1304.1000032424927	12	148.835
1308.400006055832	12	81.596
1298.3000044822693	12	200.296
1347.2000081539154	12	167.566
1281.6000082492828	12	108.968
1312.9000070095062	11	58.546
1292.700007200241	12	128.683
1319.4000062942505	11	36.194
1334.5000064373016	11	34.649
1361.5000092983246	11	97.86
1340.5000069141388	12	33.465
1283.200002670288	11	76.019
1278.6000063419342	12	138.414
1324.5000092983246	12	144.425
1292.1000065803528	12	102.175
1301.7000048160553	12	119.377
1310.5000047683716	12	119.651
1345.3000082969666	11	75.4
1285.00000166893	12	149.813
1274.7000052928925	12	143.561
1330.1000046730042	12	141.883
1340.800006389618	12	71.681
1296.6000063419342	12	131.825
1302.3000106811523	12	152.197
1330.3000030517578	12	136.323
1282.2000057697296	11	139.633
1256.500005722046	12	149.517
1300.3000011444092	12	122.641
1362.9000046253204	12	68.748
1295.5	12	73.474
1307.9999980926514	12	120.544
1357.5000019073486	12	85.923
1291.1000065803528	12	161.306
1312.5000047683716	12	96.44
1251.900006055832	12	123.199
1277.4000034332275	12	113.942
1320.9000041484833	11	153.728
