fo 	n	time
648.4000041484833	3	0.304
589.1000030040741	3	12.604
589.1000030040741	3	15.189
589.1000030040741	3	15.075
648.4000041484833	3	20.205
590.5000030994415	3	4.24
589.1000030040741	3	4.766
589.1000030040741	3	2.003
589.1000030040741	3	7.169
617.9000022411346	3	6.626
648.4000041484833	3	1.685
589.1000030040741	3	28.619
589.1000030040741	3	12.85
589.1000030040741	3	3.759
689.2000033855438	3	14.748
589.1000030040741	3	24.215
759.000004529953	3	16.963
648.4000041484833	3	14.44
589.1000030040741	3	7.247
734.0000030994415	3	12.479
589.1000030040741	3	8.581
589.1000030040741	3	3.087
608.6000030040741	3	31.644
589.1000030040741	3	15.53
617.9000022411346	3	3.814
648.4000041484833	3	19.505
589.1000030040741	3	0.616
589.1000030040741	3	21.236
589.1000030040741	3	5.174
589.1000030040741	3	9.255
