fo 	n	 time
1281.4000017642975	13	108.587
1353.4000005722046	13	122.738
1296.5000064373016	13	468.687
1294.999998807907	13	383.559
1285.3999950885773	13	403.674
1284.5999970436096	13	379.676
1304.2000014781952	13	402.29
1281.8999993801117	13	292.855
1271.200002193451	13	355.528
1297.8999962806702	12	333.785
1285.0000010728836	13	388.255
1263.1999969482422	13	300.604
1274.8999984264374	13	421.737
1304.9000021219254	13	406.313
1300.8000025749207	13	289.825
1268.0999994277954	13	374.83
1292.1000038385391	13	298.612
1278.1000000238419	13	221.383
1323.2000023126602	12	245.525
1296.4999986886978	12	142.986
1300.3000009059906	13	391.765
1278.6000000238419	13	377.775
1326.5000035762787	13	372.014
1265.1999980211258	13	391.411
1293.0999975204468	13	366.697
1282.9999980926514	13	372.207
1266.4999984502792	13	370.93
1310.600001692772	13	322.813
1281.3999977111816	13	392.06
1286.499992132187	13	381.127
