fo	n	time
937.5000003576279	3	112.317
895.9000004529953	3	90.457
924.0000025033951	3	77.628
864.5999933481216	3	129.737
879.4999995231628	3	99.253
914.0999995470047	3	71.021
914.299996972084	3	107.651
878.6999968290329	3	87.442
885.8999952077866	3	139.733
929.900001168251	3	95.95
920.9000021219254	3	59.173
888.7000011205673	3	125.203
869.9999986886978	3	131.974
833.1999967098236	3	134.505
878.5999997854233	3	124.087
892.2999984025955	3	142.417
891.6999992132187	3	139.563
909.4000005722046	3	129.536
844.4999978542328	3	133.235
825.6999982595444	3	137.1
892.0999970436096	3	90.88
878.9999989271164	3	144.64
902.0999983549118	3	138.5
887.1000002622604	3	154.225
863.1000008583069	3	130.795
885.999999165535	3	88.893
868.6999977827072	3	122.536
895.9999965429306	3	79.252
851.5999981164932	3	141.27
881.7999981641769	3	115.465
