fo	n	time
827.3000018596649	10	42.024
827.3000018596649	10	15.942
827.3000018596649	10	40.12
827.3000018596649	10	40.918
827.3000018596649	10	66.881
827.3000018596649	10	17.324
827.3000018596649	10	42.932
827.3000018596649	10	28.882
828.0000026226044	10	20.467
827.3000018596649	10	9.433
827.3000018596649	10	51.72
827.3000018596649	10	67.112
827.3000018596649	10	30.389
827.3000018596649	10	26.358
827.3000018596649	10	19.564
827.3000018596649	10	68.545
827.3000018596649	10	30.642
827.3000018596649	10	14.796
827.3000018596649	10	17.628
827.3000018596649	10	44.795
827.3000018596649	10	19.98
827.3000018596649	10	44.708
827.3000018596649	10	43.828
827.3000018596649	10	18.757
827.3000018596649	10	38.976
827.3000018596649	10	45.806
827.3000018596649	10	37.309
827.3000018596649	10	30.836
827.3000018596649	10	33.97
827.3000018596649	10	24.323
