fo 	n	time
589.1000030040741	3	0.828
589.1000030040741	3	1.162
589.1000030040741	3	2.109
589.1000030040741	3	1.714
589.1000030040741	3	1.129
589.1000030040741	3	1.162
589.1000030040741	3	1.49
589.1000030040741	3	1.246
589.1000030040741	3	1.347
589.1000030040741	3	1.375
589.1000030040741	3	6.664
589.1000030040741	3	2.466
589.1000030040741	3	1.15
589.1000030040741	3	0.904
589.1000030040741	3	1.314
589.1000030040741	3	0.635
589.1000030040741	3	0.837
589.1000030040741	3	1.358
589.1000030040741	3	2.244
589.1000030040741	3	1.105
589.1000030040741	3	1.386
589.1000030040741	3	2.798
589.1000030040741	3	1.618
589.1000030040741	3	1.344
589.1000030040741	3	1.803
589.1000030040741	3	1.223
589.1000030040741	3	1.909
589.1000030040741	3	0.895
589.1000030040741	3	1.99
589.1000030040741	3	1.063
