fo 	n	 time
586.0000026226044	3	1.229
586.0000026226044	3	1.57
586.0000026226044	3	3.988
586.0000026226044	3	1.224
586.0000026226044	3	1.675
586.0000026226044	3	1.344
586.0000026226044	3	1.37
586.0000026226044	3	1.095
586.0000026226044	3	1.249
586.0000026226044	3	1.194
586.0000026226044	3	1.225
586.0000026226044	3	1.518
586.0000026226044	3	1.3
586.0000026226044	3	1.584
586.0000026226044	3	1.234
586.0000026226044	3	1.33
586.0000026226044	3	1.273
586.0000026226044	3	1.368
586.0000026226044	3	1.199
586.0000026226044	3	1.369
586.0000026226044	3	1.409
586.0000026226044	3	1.922
586.0000026226044	3	1.322
586.0000026226044	3	1.453
586.4000027179718	3	1.118
586.0000026226044	3	1.307
586.0000026226044	3	1.154
586.0000026226044	3	1.235
586.0000026226044	3	1.616
586.0000026226044	3	1.34
