fo 	n	 time
1260.8999973535538	12	425.118
1284.800001859665	12	416.522
1263.899994134903	12	186.351
1264.2999954223633	12	111.365
1260.399996995926	12	470.336
1267.5999970436096	12	433.983
1263.5999946594238	12	322.351
1279.199998140335	12	519.529
1258.6999987363815	12	402.314
1269.3999934196472	12	504.489
1278.5999960899353	12	430.194
1259.399992465973	12	395.825
1265.7000002861023	12	384.219
1269.7999906539917	12	327.125
1257.4999964237213	12	378.917
1279.5	12	480.692
1256.5999956130981	12	398.403
1274.49999833107	12	340.796
1272.2999980449677	12	190.547
1330.2999976873398	12	416.905
1274.2999979257584	12	492.323
1269.699988603592	12	369.826
1257.5999965667725	12	320.786
1288.8000012636185	12	373.908
1271.1999943256378	12	440.897
1266.3999977111816	12	342.318
1268.7000032663345	12	404.409
1264.6999950408936	12	193.355
1297.6999990940094	12	312.625
1271.8999927043915	12	433.897
