fo	n	time
949.499999165535	3	154.306
946.8999999761581	3	178.449
949.9999994039536	3	150.505
951.4999998807907	3	173.311
949.4999982118607	3	141.248
940.7999987602234	3	142.325
955.3999963998795	3	169.05
953.499999165535	3	167.444
951.799999833107	3	121.87
947.3999972343445	3	132.914
946.5999997854233	3	143.303
956.7000004053116	3	81.174
945.2000006437302	3	132.032
955.9999986886978	3	159.766
950.5999987125397	3	130.105
951.7000015974045	3	196.231
965.1000002622604	3	167.926
954.5999994277954	3	130.562
949.6999994516373	3	170.818
943.0999989509583	3	83.8
947.499997138977	3	145.904
958.0000001192093	3	176.064
953.2999976873398	3	168.59
950.8999985456467	3	155.393
953.3000009059906	3	185.834
951.3999955654144	3	100.019
954.0000009536743	3	121.952
956.5999997854233	3	39.527
940.9999988079071	3	159.895
947.0000023841858	3	141.92
