fo	n	time
1501.2000012397766	13	509.285
1512.3000011444092	13	372.723
1505.2999982833862	13	402.261
1505.9000024795532	13	274.948
1517.4000062942505	13	480.793
1495.3000025749207	13	280.778
1516.6000037193298	13	453.74
1508.8000044822693	13	276.558
1505.6999998092651	13	427.433
1502.400007724762	13	339.854
1511.299997329712	13	443.835
1507.0999989509583	13	401.306
1516.6000003814697	13	353.367
1502.600007534027	13	174.015
1554.2000069618225	12	461.995
1513.9000058174133	13	262.198
1511.6000046730042	13	406.951
1489.0000071525574	13	479.255
1514.6999974250793	13	443.481
1512.800000667572	13	284.554
1506.200005531311	13	461.967
1521.700002193451	13	513.3
1511.7000045776367	13	434.326
1508.5	13	364.361
1503.8000001907349	13	435.637
1507.5000071525574	13	496.281
1505.6000022888184	13	423.566
1507.3999996185303	13	301.177
1510.8000044822693	13	457.618
1504.4000000953674	13	469.091
