fo 	n	time
589.1000030040741	3	4.226
589.1000030040741	3	4.711
589.1000030040741	3	6.12
589.1000030040741	3	2.248
589.1000030040741	3	4.211
589.1000030040741	3	4.446
589.1000030040741	3	3.489
589.1000030040741	3	5.541
589.1000030040741	3	0.753
589.1000030040741	3	5.62
589.1000030040741	3	5.39
589.1000030040741	3	1.402
589.1000030040741	3	3.162
589.1000030040741	3	8.563
589.1000030040741	3	3.499
589.1000030040741	3	6.881
589.1000030040741	3	3.768
589.1000030040741	3	7.532
589.1000030040741	3	6.606
589.1000030040741	3	3.586
589.1000030040741	3	3.853
589.1000030040741	3	0.381
589.1000030040741	3	4.098
589.1000030040741	3	9.017
589.1000030040741	3	0.705
589.1000030040741	3	3.641
589.1000030040741	3	6.815
589.1000030040741	3	0.948
589.1000030040741	3	4.513
589.1000030040741	3	2.896
