fo 	n	 time
586.0000026226044	3	1.377
586.4000027179718	3	4.513
586.0000026226044	3	2.741
586.0000026226044	3	0.791
586.0000026226044	3	0.937
586.0000026226044	3	4.052
586.0000026226044	3	0.835
586.0000026226044	3	1.476
586.0000026226044	3	0.882
586.0000026226044	3	1.355
586.0000026226044	3	1.163
586.0000026226044	3	2.419
586.0000026226044	3	1.055
586.0000026226044	3	1.137
586.0000026226044	3	0.994
586.0000026226044	3	9.395
586.0000026226044	3	1.755
586.0000026226044	3	0.911
586.0000026226044	3	1.028
586.0000026226044	3	1.177
586.0000026226044	3	5.763
586.0000026226044	3	1.326
586.0000026226044	3	5.112
586.0000026226044	3	2.735
586.0000026226044	3	2.928
586.0000026226044	3	0.835
586.0000026226044	3	1.928
586.0000026226044	3	4.438
586.0000026226044	3	3.829
588.3000023365021	3	0.62
