fo	n	time
585.8000028133392	3	5.331
585.8000028133392	3	1.459
585.8000028133392	3	0.847
585.8000028133392	3	1.823
586.2000029087067	3	6.149
585.8000028133392	3	4.53
585.8000028133392	3	10.844
585.8000028133392	3	5.454
585.8000028133392	3	2.55
585.8000028133392	3	7.955
585.8000028133392	3	2.288
585.8000028133392	3	1.126
585.8000028133392	3	0.876
586.9000022411346	3	0.85
585.8000028133392	3	2.56
585.8000028133392	3	4.281
585.8000028133392	3	4.589
585.8000028133392	3	1.128
585.8000028133392	3	5.953
585.8000028133392	3	0.835
585.8000028133392	3	1.144
585.8000028133392	3	2.472
585.8000028133392	3	2.203
585.8000028133392	3	6.937
585.8000028133392	3	3.61
585.8000028133392	3	0.872
585.8000028133392	3	1.034
585.8000028133392	3	0.925
585.8000028133392	3	5.235
585.8000028133392	3	2.606
