fo	n	time
1651.6000106334686	19	407.987
1652.1000072956085	19	448.086
1651.1000056266785	19	485.119
1650.400006055832	19	204.857
1659.1000044345856	19	186.609
1653.00000333786	19	385.762
1653.7000060081482	19	278.45
1649.9000058174133	19	295.034
1650.500010728836	19	249.707
1650.6000077724457	19	162.618
1649.6000092029572	19	190.707
1650.1000068187714	19	223.007
1651.500007867813	19	323.954
1649.8000061511993	19	306.993
1648.700005531311	19	301.463
1658.6000094413757	19	288.255
1654.7000064849854	19	328.025
1657.000007390976	19	251.517
1650.6000092029572	19	362.267
1651.3000082969666	19	356.834
1658.8000042438507	19	493.62
1650.5000083446503	19	402.858
1649.900006532669	19	146.922
1656.0000040531158	19	376.225
1652.7000045776367	19	332.781
1651.700007200241	19	284.393
1653.3000059127808	19	348.755
1652.5000069141388	19	458.482
1649.6000068187714	19	121.764
1653.9000074863434	19	520.26
