fo 	n	 time
1253.699998140335	13	304.286
1301.400003194809	12	218.44
1255.3999984264374	13	314.802
1287.1999980211258	12	255.601
1265.500002861023	13	369.548
1263.3999960422516	12	203.39
1314.599999666214	12	426.536
1257.7999988794327	13	403.365
1256.9999992847443	13	381.105
1255.7999967336655	13	427.969
1306.299996495247	12	310.438
1266.7999956607819	12	303.992
1274.6999959945679	12	401.806
1292.5000047683716	12	414.262
1255.6999952793121	13	411.118
1301.2000042200089	12	356.24
1279.1999965906143	12	259.753
1292.6999990940094	12	318.859
1244.7000007629395	13	438.624
1263.5000014305115	13	439.569
1276.5999991893768	12	435.137
1317.6000003814697	12	200.62
1317.8000022172928	12	128.82
1304.6000022888184	12	270.856
1269.599997639656	13	386.259
1317.6999995708466	12	179.75
1265.0000014305115	12	408.404
1321.7000005245209	12	272.237
1272.9999952316284	12	263.717
1257.1999999284744	13	284.716
