fo	n	time
1236.0	4	147.994
1205.3000102043152	4	82.668
1216.6000022888184	4	100.226
1212.9000053405762	4	122.928
1234.600009918213	4	132.536
1240.5000038146973	4	130.566
1204.7000041007996	4	125.004
1245.5000100135803	4	91.183
1245.1000032424927	4	75.525
1221.9000058174133	4	99.647
1213.800006866455	4	99.671
1279.5000114440918	4	114.357
1225.4000067710876	4	107.991
1251.0000047683716	4	139.386
1230.2000079154968	4	147.695
1232.7000045776367	4	106.398
1230.2000074386597	4	101.754
1212.9000058174133	4	138.518
1251.1000046730042	4	139.305
1219.500006198883	4	123.762
1211.0000104904175	4	148.642
1235.2000045776367	4	131.608
1196.8000078201294	4	147.928
1194.7000017166138	4	147.297
1223.700011730194	4	97.639
1234.900004863739	4	115.482
1217.7000093460083	4	101.511
1246.1000080108643	4	153.182
1226.4000082015991	4	136.657
1247.0000042915344	4	110.45
