fo 	n	time
589.1000030040741	3	4.348
589.1000030040741	3	0.785
589.1000030040741	3	2.474
589.1000030040741	3	3.326
589.1000030040741	3	0.966
589.1000030040741	3	1.888
589.1000030040741	3	0.912
589.1000030040741	3	1.193
589.1000030040741	3	1.955
589.1000030040741	3	0.828
589.1000030040741	3	0.965
589.1000030040741	3	0.533
589.1000030040741	3	0.786
589.1000030040741	3	1.106
589.1000030040741	3	4.308
589.1000030040741	3	4.278
589.1000030040741	3	1.533
589.1000030040741	3	2.05
589.1000030040741	3	1.219
589.1000030040741	3	3.656
589.1000030040741	3	0.985
589.1000030040741	3	1.055
589.1000030040741	3	4.119
589.1000030040741	3	1.747
589.1000030040741	3	2.616
589.1000030040741	3	4.864
589.1000030040741	3	6.317
589.1000030040741	3	2.933
589.1000030040741	3	2.845
589.1000030040741	3	0.821
