fo	n	time
588.7000029087067	3	62.092
588.1000030040741	3	109.555
594.0000030994415	3	156.292
594.0000030994415	3	101.795
588.1000030040741	3	103.257
592.0000033378601	3	93.771
591.4000034332275	3	104.067
588.1000030040741	3	98.71
591.4000034332275	3	133.869
594.0000030994415	3	128.533
591.4000034332275	3	151.476
591.4000034332275	3	91.01
588.7000029087067	3	108.743
591.4000034332275	3	136.796
588.7000029087067	3	60.95
650.2000024318695	3	90.445
588.7000029087067	3	114.204
594.0000030994415	3	67.24
594.0000030994415	3	145.575
594.0000030994415	3	133.706
594.3000028133392	3	114.205
596.7000026702881	3	80.543
588.7000029087067	3	133.974
591.4000034332275	3	65.09
594.0000030994415	3	85.82
591.4000034332275	3	130.526
588.1000030040741	3	87.636
591.4000034332275	3	141.37
594.3000028133392	3	100.375
588.1000030040741	3	153.034
