fo 	n	 time
586.0000026226044	3	0.932
586.0000026226044	3	1.096
586.0000026226044	3	1.126
586.0000026226044	3	0.893
586.0000026226044	3	1.578
586.4000027179718	3	4.385
586.0000026226044	3	1.014
586.0000026226044	3	1.14
586.0000026226044	3	1.192
586.0000026226044	3	1.081
586.0000026226044	3	0.995
586.0000026226044	3	1.072
586.0000026226044	3	1.106
586.0000026226044	3	0.98
586.4000027179718	3	1.451
586.0000026226044	3	0.916
586.0000026226044	3	2.045
586.0000026226044	3	0.832
586.0000026226044	3	1.075
586.0000026226044	3	0.983
586.0000026226044	3	0.969
586.0000026226044	3	0.938
586.0000026226044	3	1.038
586.0000026226044	3	0.893
586.4000027179718	3	1.015
586.0000026226044	3	2.232
586.4000027179718	3	2.055
586.0000026226044	3	0.857
586.0000026226044	3	0.959
586.0000026226044	3	1.046
