fo 	n	 time
1310.1000007390976	12	149.673
1262.899992465973	12	303.041
1287.6999945640564	12	422.841
1277.999999165535	12	430.745
1271.1999942064285	12	168.829
1260.7999954223633	12	394.762
1264.1999971866608	12	287.861
1265.7999958992004	12	406.646
1246.2999985218048	13	336.05
1275.799997806549	12	309.113
1285.6999951601028	12	405.738
1265.399998307228	12	409.684
1278.0999972820282	12	216.902
1263.5999975204468	12	388.362
1277.3999919891357	12	425.969
1280.5999964475632	12	428.062
1279.8999954462051	12	323.546
1265.2999937534332	12	275.3
1262.7999923229218	12	281.816
1286.0999964475632	12	408.38
1272.799997806549	12	411.26
1265.9999960660934	12	301.673
1314.0000009536743	12	178.69
1262.799993276596	12	297.951
1291.2000045776367	12	396.811
1294.7000000476837	12	385.424
1271.799994468689	12	288.168
1268.5999975204468	12	404.296
1301.8000057935715	12	414.595
1278.2999982833862	12	248.703
