fo	n	time
1293.599999666214	4	133.573
1275.8999993801117	4	130.53
1292.400001525879	4	136.151
1259.500002861023	4	101.05
1271.1000001430511	4	107.022
1276.7000036239624	4	136.08
1269.6000010967255	4	136.643
1276.7999982833862	4	90.047
1259.0999989509583	4	132.99
1257.2000014781952	4	90.169
1282.9000008106232	4	124.723
1271.5000038146973	4	130.431
1265.2000024318695	4	123.167
1281.8000009059906	4	81.285
1269.7999999523163	4	111.379
1259.400001525879	4	50.413
1259.0999989509583	4	151.87
1267.7000017166138	4	84.026
1264.400001525879	4	128.709
1259.8000009059906	4	138.504
1257.50000166893	4	132.187
1269.5999994277954	4	147.163
1282.8000028133392	4	117.277
1283.1999969482422	4	154.238
1257.2000014781952	4	126.495
1279.9000010490417	4	80.649
1253.8000004291534	4	110.593
1262.4999997615814	4	109.523
1277.0000007152557	4	133.334
1264.2000005245209	4	145.645
