fo	n	time
1276.1000084877014	11	250.926
1282.8000044822693	11	370.329
1292.3000044822693	11	319.695
1281.4000039100647	11	357.83
1300.300003528595	11	302.444
1297.3000054359436	11	231.14
1279.1000056266785	11	212.964
1271.2000033855438	11	349.129
1277.5000066757202	11	344.819
1286.0000071525574	11	310.066
1318.6000089645386	11	113.129
1271.7000076770782	11	352.19
1286.100003004074	11	328.45
1279.100004196167	11	351.045
1278.3000056743622	11	188.72
1331.4000022411346	11	359.887
1319.700002670288	11	271.866
1289.5000040531158	11	363.623
1311.7000019550323	11	277.317
1274.700011730194	11	368.549
1285.4000084400177	11	269.167
1291.8000073432922	11	388.626
1264.100007534027	11	252.38
1296.0000109672546	11	298.866
1295.600007534027	11	165.664
1307.9000113010406	11	346.517
1264.800006866455	11	227.865
1330.1999986171722	11	196.028
1290.4000062942505	11	356.561
1269.500005722046	11	325.338
