fo	n	time
827.3000018596649	10	2.9
827.3000018596649	10	1.624
827.3000018596649	10	0.981
827.3000018596649	10	2.219
827.3000018596649	10	2.265
827.3000018596649	10	1.505
827.3000018596649	10	1.099
827.3000018596649	10	1.568
827.3000018596649	10	2.223
827.3000018596649	10	1.13
827.3000018596649	10	1.732
827.3000018596649	10	1.291
827.3000018596649	10	2.289
827.3000018596649	10	1.84
827.3000018596649	10	2.198
827.3000018596649	10	2.113
827.3000018596649	10	1.755
827.3000018596649	10	1.252
827.3000018596649	10	1.279
827.3000018596649	10	5.803
827.3000018596649	10	0.977
827.3000018596649	10	2.488
827.3000018596649	10	4.244
827.3000018596649	10	0.956
827.3000018596649	10	0.975
827.3000018596649	10	1.356
827.3000018596649	10	0.908
828.0000026226044	10	4.283
827.3000018596649	10	0.891
827.3000018596649	10	2.524
