fo 	n	time
589.1000030040741	3	4.029
589.1000030040741	3	1.229
589.1000030040741	3	0.824
589.1000030040741	3	0.776
589.1000030040741	3	5.047
589.1000030040741	3	3.223
589.1000030040741	3	1.497
589.1000030040741	3	7.126
589.1000030040741	3	0.945
589.1000030040741	3	3.661
589.1000030040741	3	3.14
589.1000030040741	3	2.192
589.1000030040741	3	2.637
589.1000030040741	3	5.776
589.1000030040741	3	0.999
589.1000030040741	3	0.64
589.1000030040741	3	5.436
589.1000030040741	3	2.197
589.1000030040741	3	0.947
589.1000030040741	3	3.948
589.1000030040741	3	0.383
589.1000030040741	3	7.106
589.1000030040741	3	3.986
589.1000030040741	3	1.142
589.1000030040741	3	0.89
589.1000030040741	3	0.832
589.1000030040741	3	1.514
589.1000030040741	3	5.362
589.1000030040741	3	5.309
589.1000030040741	3	4.058
