fo 	n	 time
586.0000026226044	3	1.168
586.0000026226044	3	1.219
586.0000026226044	3	1.446
586.0000026226044	3	1.677
586.0000026226044	3	3.213
586.0000026226044	3	1.16
586.0000026226044	3	0.969
586.4000027179718	3	3.739
586.0000026226044	3	0.999
586.0000026226044	3	0.806
586.0000026226044	3	1.305
586.0000026226044	3	5.072
586.0000026226044	3	2.781
586.0000026226044	3	2.778
586.0000026226044	3	1.988
586.0000026226044	3	2.661
586.0000026226044	3	1.161
586.4000027179718	3	1.543
586.0000026226044	3	0.977
586.0000026226044	3	3.623
586.0000026226044	3	0.943
586.0000026226044	3	0.968
586.0000026226044	3	1.036
586.0000026226044	3	1.084
586.0000026226044	3	1.01
586.0000026226044	3	0.924
586.0000026226044	3	0.877
586.0000026226044	3	1.016
586.0000026226044	3	1.042
586.0000026226044	3	3.218
