fo 	n	 time
1283.7999994754791	12	311.978
1254.6999962329865	13	378.051
1257.2999975681305	12	409.901
1298.999998807907	12	376.667
1295.5999960899353	12	452.864
1258.3999984264374	13	186.169
1272.099998474121	12	406.56
1296.5	12	192.323
1271.9999947547913	12	398.883
1270.6999999284744	12	320.459
1304.9999997615814	12	331.03
1278.6999974250793	12	417.218
1312.199999332428	12	274.27
1269.3999953269958	12	434.938
1266.0000014305115	12	293.71
1269.3999967575073	12	418.469
1312.600001335144	12	398.881
1271.5999965667725	12	341.487
1244.300002336502	13	418.414
1287.00000166893	12	185.59
1275.8999931812286	12	344.548
1275.799994468689	12	394.683
1282.6000034809113	12	428.351
1251.2999994754791	13	427.319
1277.299998998642	12	361.2
1253.6999995708466	13	298.91
1302.4999985694885	12	407.102
1307.5000002384186	12	436.585
1269.1999945640564	12	377.014
1281.9999918937683	12	425.424
