fo	n	time
955.1999979019165	10	451.222
970.1999990940094	10	422.489
993.1999998092651	9	459.421
964.7000024318695	10	455.335
946.3000032901764	10	408.107
972.7999991178513	10	335.955
991.1000008583069	9	314.007
1007.0999977588654	9	402.934
956.1999995708466	10	467.064
954.400000333786	10	417.73
974.4000018835068	9	250.549
972.0000033378601	10	301.337
1000.2999999523163	9	370.451
959.899998664856	10	456.056
966.8999998569489	10	446.463
952.1999976634979	10	346.205
953.4000000953674	10	465.812
967.1999998092651	10	420.801
980.0000013113022	9	215.204
963.5999999046326	10	323.03
956.3999989032745	10	221.719
957.7999993562698	10	448.944
979.9999978542328	9	156.929
981.899996638298	9	382.784
961.5000002384186	10	375.115
954.8000004291534	10	429.194
983.6000002622604	9	422.406
949.3000012636185	10	395.95
964.7999978065491	10	427.937
964.2000014781952	10	450.115
