fo	n	time
1398.6000046730042	12	401.194
1385.50000333786	13	247.4
1383.9000029563904	13	382.2
1386.8000044822693	12	161.426
1398.6000032424927	13	375.578
1434.9000067710876	12	286.384
1417.0000076293945	12	337.687
1381.800003528595	12	398.774
1416.2000017166138	12	389.774
1414.500006198883	12	394.076
1408.3000020980835	12	93.563
1408.5000052452087	12	345.685
1424.4000010490417	12	353.761
1408.7000093460083	13	311.448
1429.50000333786	12	423.719
1399.9000010490417	12	226.417
1389.1000018119812	12	354.977
1387.7000079154968	12	342.144
1408.2000031471252	12	253.539
1387.300003528595	12	424.046
1415.9000010490417	12	298.643
1408.2000093460083	12	305.783
1399.2000041007996	12	126.387
1408.4000062942505	13	373.571
1417.0000052452087	12	275.25
1421.3000030517578	12	357.616
1400.5000014305115	12	334.954
1423.900004863739	12	389.169
1393.0000085830688	12	368.59
1416.600009918213	12	299.764
