fo 	n	time
589.1000030040741	3	3.25
589.1000030040741	3	5.336
589.1000030040741	3	5.034
589.1000030040741	3	1.132
589.1000030040741	3	5.082
589.1000030040741	3	16.761
589.1000030040741	3	25.672
589.1000030040741	3	9.294
589.1000030040741	3	15.355
589.1000030040741	3	14.277
589.1000030040741	3	7.65
589.1000030040741	3	7.311
589.1000030040741	3	5.282
589.1000030040741	3	3.714
648.4000041484833	3	7.426
589.1000030040741	3	4.142
589.1000030040741	3	20.029
589.1000030040741	3	8.869
589.1000030040741	3	6.735
589.1000030040741	3	26.235
589.1000030040741	3	17.663
648.4000041484833	3	26.714
589.1000030040741	3	3.583
589.1000030040741	3	10.491
589.1000030040741	3	6.882
589.1000030040741	3	5.309
648.4000041484833	3	7.851
589.1000030040741	3	5.583
589.1000030040741	3	11.055
589.1000030040741	3	4.876
