fo	n	time
699.6000001430511	3	74.544
716.7000029087067	3	31.221
591.4000034332275	3	83.338
659.9000022411346	3	111.481
588.7000029087067	3	112.331
695.3000004291534	3	99.016
697.00000166893	3	114.151
729.7000024318695	3	70.839
594.0000030994415	3	105.735
597.3000025749207	3	122.548
745.6999990940094	3	100.274
650.2000024318695	3	93.704
705.8000042438507	3	104.121
596.7000026702881	3	85.772
692.6000039577484	3	78.455
786.1000018119812	3	109.765
699.000004529953	3	51.781
699.3000001907349	3	64.786
710.0000050067902	3	95.784
758.9000036716461	3	81.864
730.4000024795532	3	12.035
594.0000030994415	3	50.033
679.8000044822693	3	107.13
594.0000030994415	3	109.339
870.8000032901764	3	73.639
591.4000034332275	3	76.591
683.4000027179718	3	111.93
602.6000039577484	3	125.223
643.4000041484833	3	45.789
832.8000028133392	3	87.717
