fo 	n	 time
586.0000026226044	3	2.504
644.0000007152557	3	7.825
586.0000026226044	3	3.468
586.0000026226044	3	0.368
586.0000026226044	3	9.408
586.0000026226044	3	0.597
586.0000026226044	3	21.61
586.0000026226044	3	8.174
586.0000026226044	3	0.476
586.0000026226044	3	18.469
586.0000026226044	3	0.554
586.0000026226044	3	13.131
589.8000023365021	3	0.522
586.0000026226044	3	12.434
586.0000026226044	3	3.061
598.5000026226044	3	0.753
586.0000026226044	3	8.448
586.0000026226044	3	23.214
586.0000026226044	3	0.624
589.8000023365021	3	5.764
586.0000026226044	3	0.429
586.0000026226044	3	3.241
586.0000026226044	3	0.493
586.0000026226044	3	15.596
586.0000026226044	3	5.264
586.0000026226044	3	12.179
586.0000026226044	3	11.77
586.0000026226044	3	6.878
586.0000026226044	3	10.978
586.0000026226044	3	4.103
