fo 	n	 time
1270.299997329712	13	301.421
1285.799997329712	13	399.423
1299.1999989748	13	471.176
1273.9999928474426	13	465.951
1274.3000001907349	13	417.843
1275.6999961137772	12	431.097
1312.9000043869019	12	392.378
1272.3000016212463	12	371.02
1287.0000015497208	13	410.572
1278.0000069141388	13	424.625
1271.2999958992004	13	428.987
1272.000002861023	13	377.124
1307.0000027418137	13	339.044
1316.0999987125397	13	387.782
1263.2999947071075	12	370.025
1266.9000008106232	13	430.831
1274.5999977588654	13	410.797
1293.6000024080276	13	417.056
1275.5999990701675	13	410.327
1323.3000024557114	12	389.75
1299.3000029325485	13	417.633
1288.8000013828278	13	407.191
1285.099998474121	12	385.819
1274.0999960899353	13	375.717
1268.8999975919724	13	393.944
1297.7999994754791	12	314.161
1272.4999995231628	13	402.81
1286.1000006198883	13	399.863
1254.8999955654144	13	427.07
1286.7999976873398	13	321.048
