fo	n	time
1116.4999980926514	11	144.953
1112.8999967575073	11	183.552
1110.400000333786	11	135.662
1132.0999969244003	11	164.007
1102.9999997615814	11	178.682
1147.6000034809113	11	172.53
1135.9000053405762	11	167.701
1136.400001525879	11	192.717
1106.3000010252	11	145.316
1113.4000025987625	11	111.56
1118.900000333786	11	153.029
1111.500002861023	11	219.538
1090.0000017881393	11	142.922
1089.9000005722046	11	162.711
1139.4000008106232	11	129.197
1108.3000016212463	11	171.71
1117.6000032424927	11	128.991
1151.6999986171722	11	179.431
1109.9999994039536	11	108.333
1118.3999967575073	11	205.767
1150.1000031232834	11	128.002
1099.099997639656	11	102.697
1141.2000050544739	11	77.2
1168.7000020742416	11	145.892
1183.4999976158142	11	95.271
1143.7000005245209	11	193.026
1131.1000009775162	11	176.984
1173.2000025510788	11	141.408
1112.8000020980835	11	156.848
1145.3000022172928	11	184.099
