fo	n	time
1707.6000061035156	15	265.273
1742.600004196167	15	347.539
1696.5000128746033	15	336.834
1686.4000072479248	15	335.701
1707.8000059127808	15	162.449
1716.3000106811523	15	110.482
1682.2000069618225	15	318.378
1695.9000062942505	15	325.176
1674.10000705719	15	268.04
1680.000006198883	16	331.925
1707.9000043869019	16	374.572
1723.6000080108643	15	355.773
1681.9000115394592	15	212.521
1704.100009918213	15	322.537
1708.0000104904175	15	283.929
1751.9000039100647	15	358.388
1666.3000082969666	15	342.513
1624.900007724762	15	359.529
1693.7000045776367	16	363.542
1691.800012588501	15	370.688
1742.200005531311	15	307.685
1661.8000111579895	15	325.307
1745.8000082969666	16	56.542
1759.5000052452087	15	345.417
1665.8000082969666	15	312.913
1686.000005722046	15	184.506
1700.4000091552734	15	370.403
1700.900010585785	15	358.964
1662.8000030517578	16	307.585
1675.2000093460083	15	255.019
