"instance","metodo","exec","fo","n","time","fitness"
"C109","OneAgent",0,827.300001859665,10,90.461,10827.3000018597
"C109","OneAgent",1,859.400002241135,10,121.553,10859.4000022411
"C109","OneAgent",2,830.900000333786,10,122.243,10830.9000003338
"C109","OneAgent",3,860.700001478195,10,133.717,10860.7000014782
"C109","OneAgent",4,853.300002098083,10,112.079,10853.3000020981
"C109","OneAgent",5,902.90000295639,10,134.288,10902.9000029564
"C109","OneAgent",6,921.100003957748,10,121.263,10921.1000039577
"C109","OneAgent",7,860.200003862381,10,139.329,10860.2000038624
"C109","OneAgent",8,869.00000500679,10,133.68,10869.0000050068
"C109","OneAgent",9,886.499996900558,10,3.624,10886.4999969006
"C109","OneAgent",10,827.300001859665,10,122.347,10827.3000018597
"C109","OneAgent",11,916.900003671646,10,123.469,10916.9000036716
"C109","OneAgent",12,827.300001859665,10,121.306,10827.3000018597
"C109","OneAgent",13,862.000001192093,10,94.532,10862.0000011921
"C109","OneAgent",14,925.699998617172,10,145.155,10925.6999986172
"C109","OneAgent",15,832.700003385544,10,82.953,10832.7000033855
"C109","OneAgent",16,864.300001144409,10,118.241,10864.3000011444
"C109","OneAgent",17,872.600004434586,10,120.851,10872.6000044346
"C109","OneAgent",18,845.600002288818,10,130.112,10845.6000022888
"C109","OneAgent",19,827.300001859665,10,66.235,10827.3000018597
"C109","OneAgent",20,866.500004529953,10,165.98,10866.50000453
"C109","OneAgent",21,879.90000128746,10,104.916,10879.9000012875
"C109","OneAgent",22,855.900001764297,10,129.166,10855.9000017643
"C109","OneAgent",23,909.100002765656,10,74.636,10909.1000027657
"C109","OneAgent",24,884.400003671646,10,142.769,10884.4000036716
"C109","OneAgent",25,853.300002098083,10,128.295,10853.3000020981
"C109","OneAgent",26,891.199999570847,10,58.982,10891.1999995708
"C109","OneAgent",27,934.200003862381,10,151.18,10934.2000038624
"C109","OneAgent",28,854.400002479553,10,102.492,10854.4000024796
"C109","OneAgent",29,832.700003385544,10,161.256,10832.7000033855
"C109","TwoAgent",0,854.800002336502,10,106.411,10854.8000023365
"C109","TwoAgent",1,827.300001859665,10,43.564,10827.3000018597
"C109","TwoAgent",2,838.300000905991,10,68.126,10838.300000906
"C109","TwoAgent",3,827.300001859665,10,66.14,10827.3000018597
"C109","TwoAgent",4,828.700002670288,10,87.183,10828.7000026703
"C109","TwoAgent",5,827.300001859665,10,56.597,10827.3000018597
"C109","TwoAgent",6,836.400003194809,10,127.874,10836.4000031948
"C109","TwoAgent",7,830.100002288818,10,132.324,10830.1000022888
"C109","TwoAgent",8,863.700000047684,10,151.007,10863.7000000477
"C109","TwoAgent",9,845.800000905991,10,151.599,10845.800000906
"C109","TwoAgent",10,827.300001859665,10,135.01,10827.3000018597
"C109","TwoAgent",11,827.600000143051,10,118.166,10827.6000001431
"C109","TwoAgent",12,828.000002622604,10,115.126,10828.0000026226
"C109","TwoAgent",13,827.300001859665,10,138.214,10827.3000018597
"C109","TwoAgent",14,853.100004434586,10,73.334,10853.1000044346
"C109","TwoAgent",15,827.300001859665,10,114.529,10827.3000018597
"C109","TwoAgent",16,827.300001859665,10,123.064,10827.3000018597
"C109","TwoAgent",17,848.400000333786,10,114.322,10848.4000003338
"C109","TwoAgent",18,827.600000143051,10,70.426,10827.6000001431
"C109","TwoAgent",19,853.300002098083,10,58.186,10853.3000020981
"C109","TwoAgent",20,856.000002145767,10,53.811,10856.0000021458
"C109","TwoAgent",21,827.300001859665,10,96.809,10827.3000018597
"C109","TwoAgent",22,854.400002479553,10,168.942,10854.4000024796
"C109","TwoAgent",23,827.300001859665,10,146.149,10827.3000018597
"C109","TwoAgent",24,844.700001716614,10,117.61,10844.7000017166
"C109","TwoAgent",25,827.300001859665,10,105.206,10827.3000018597
"C109","TwoAgent",26,844.700002670288,10,145.456,10844.7000026703
"C109","TwoAgent",27,859.10000371933,10,133.398,10859.1000037193
"C109","TwoAgent",28,847.400002241135,10,65.103,10847.4000022411
"C109","TwoAgent",29,853.40000128746,10,114.144,10853.4000012875
"C109","FourAgent",0,827.300001859665,10,104.232,10827.3000018597
"C109","FourAgent",1,827.300001859665,10,117.437,10827.3000018597
"C109","FourAgent",2,827.300001859665,10,58.746,10827.3000018597
"C109","FourAgent",3,827.300001859665,10,66.962,10827.3000018597
"C109","FourAgent",4,827.300001859665,10,139.879,10827.3000018597
"C109","FourAgent",5,827.300001859665,10,127.96,10827.3000018597
"C109","FourAgent",6,830.100002288818,10,123.457,10830.1000022888
"C109","FourAgent",7,827.300001859665,10,127.074,10827.3000018597
"C109","FourAgent",8,827.300001859665,10,111.669,10827.3000018597
"C109","FourAgent",9,827.300001859665,10,43.946,10827.3000018597
