"instance","literatura","one","two","four","eight","ten","twenty","thirty","forty","fifty","sixty"
"C109",10828.94,10867.8200022141,10838.9500018994,10830.6866683722,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94
"C208",3588.32,3609.35333624681,3592.7033362786,3588.32,3588.32,3588.32,3588.32,3588.32,3588.32,3588.32,3588.32
"R112",9982.14,11020.3333310207,11001.5233302514,10992.1466639042,10988.0533306162,10987.0633310556,10978.2866629839,10977.9366628965,10975.1599964261,10973.4299963991,10972.0866631071
"R211",2885.71,3870.29333098729,3847.6466640075,3839.36666440964,3832.08666435083,3826.5733307004,3818.72999728123,3813.8733302633,3814.44666395187,3809.61999687751,3802.67333034277
"RC108",11139.82,12190.4900029818,12156.1233360529,12069.6600032489,11994.5000024239,11932.6566696485,11697.8733356237,11599.5166688681,11409.9133355935,11474.8833353599,11406.2233353535
"RC208",3828.14,3973.25000257492,3936.52666902542,3926.13666890462,3908.84333635171,3897.21000254154,3893.04333601793,3879.6833359321,3874.78000315825,3874.45333576202,3874.80000268618
"C108",10828.94,10839.4700018803,10832.4266683737,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94
"C207",3588.29,3606.59000293414,3604.93333611488,3588.32333609263,3588.29,3588.29,3588.29,3588.29,3588.29,3588.29,3588.29
"R111",11096.72,12255.4599998673,12117.4,12061.3599999428,12092.5099993149,12087.9899999658,12079.4266666373,12046.7333331863,12005.430000035,12010.8733336051,11976.1066669305
"R210",3939.37,4029.66666587989,4004.68333213727,3992.30333253543,3983.74666490555,3977.12666463852,3972.89666537841,3969.05333175659,3969.64999745289,3964.98333143791,3965.45999797185
"RC107",12230.48,13019.6266724269,12919.560006094,12745.61667219,12404.5233408531,12400.6433393002,12258.970006156,12253.3100060066,12251.2200067123,12248.9900061448,12250.7866736889
"RC207",4061.14,4576.64000310898,4478.61667055289,4296.94667110443,4139.2666712602,4139.78667110602,4116.66000358264,4109.5433385849,4102.1033381621,4098.66333847046,4095.3800049146
"C107",10828.94,10833.0766686678,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94
"C206",3588.49,3604.9400024573,3588.60333587329,3588.49,3588.49,3588.49,3588.49,3588.49,3588.49,3588.49,3588.49
"R110",11118.84,12491.9133305629,12410.4866638581,12267.4099965731,12125.049996376,12123.5699958563,12106.9099957784,12104.9133295298,12104.8333294153,12102.5999960343,12100.4499960264
"R209",3909.16,4016.89999692837,3988.8366636912,3970.5966635704,3950.91999649207,3955.2799969991,3944.58332964579,3943.85333031813,3936.98333023389,3934.50666365623,3935.18999667962
"RC106",12424.73,14370.1433368047,14092.6800050418,14192.0833378315,13978.8800045649,13910.0366705736,13572.4466712316,13549.2900049527,13473.2100040277,13399.4433367729,13400.8433380763
"RC206",4146.32,4578.57000215848,4364.32000290553,4262.85666948954,4251.02333709399,4222.93333652814,4203.48666973114,4193.39000228246,4199.57000238101,4201.78666911125,4187.4566690286
"C106",10828.94,10832.9066686948,10839.1400020599,10829.0133353392,10828.9666686217,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94
"C205",3588.88,3603.37333586216,3589.05666939418,3588.88,3588.88,3588.88,3588.88,3588.88,3588.88,3588.88,3588.88
"R109",12194.73,13310.9699965954,13263.983329622,13188.8166627328,13182.1999957403,13177.9533290068,13172.1666631381,13169.7599962473,13168.5733295043,13168.836662213,13167.3899960995
"R208",2726.82,2786.67666541735,2768.5866653045,2750.68333186309,2749.58333194256,2744.4933319966,2739.60999874671,2734.78333155314,2735.06333171527,2734.04666448037,2732.72999841372
"RC105",14629.44,16324.7300039291,16323.1100034793,15922.7100038211,15748.5200040023,15648.0400035302,15571.280003341,15567.7500038147,15565.5900035063,15559.9400038878,15561.9466701825
"RC205",5297.65,5481.46000351906,5409.1466708978,5380.33333732287,5363.99000349045,5371.80333704948,5350.90000319481,5347.50333635012,5343.45333692233,5333.36666997274,5337.58333684603
"C105",10828.94,10847.1600019852,10843.9366689682,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94
"C204",3590.6,3705.41666886012,3681.21666943232,3641.27666965326,3612.61000308196,3609.220003136,3593.92666986783,3593.35666975975,3590.6,3590.6600030899,3590.6
"R108",9960.88,10958.0466656248,10984.5399997632,10938.1566662709,10868.4599998117,10804.8299988548,10668.5133332292,10602.8266661525,10337.2933316231,10406.2199994922,10243.5999989033
"R207",2890.61,3886.22999879519,3867.01666549047,3828.58999918302,3783.97666509946,3812.92999807596,3835.25666449467,3801.24333159924,3799.95666457415,3706.86666516066,3587.77333173354
"RC104",11135.48,11601.503335309,11386.9733370384,11175.6266695976,11157.6433361689,11158.750003616,11152.0566693385,11146.570003136,11145.5933355252,11145.7766695182,11143.9433361689
"RC204",3798.46,3895.63666882515,3867.24333612124,3854.48333570957,3842.95666795572,3843.00666893323,3829.4400021553,3821.64666885535,3817.67000242869,3817.17000187238,3815.06333516439
"C104",10824.78,10852.656668369,10844.5300015052,10828.5666682402,10825.7866681099,10824.78,10824.78,10824.78,10824.78,10824.78,10824.78
"C203",3591.17,3651.29000318845,3620.64000220299,3618.68666929404,3596.86333596706,3591.17,3591.17,3591.17,3591.17,3591.17,3591.17
"R107",11104.66,12141.5133334359,12127.2966675242,12108.0700010657,12096.0000003179,12096.776667738,12027.6933336814,11992.3766672651,11957.8333347122,11957.1900003115,11799.8800005754
"R206",3906.14,3985.17666555643,3973.42666494052,3960.29666523933,3950.8633318305,3952.16999833981,3941.04999822776,3931.05333184401,3933.38999817769,3928.63999849558,3926.76333171924
"RC103",12261.67,13142.4266687552,13003.1100031853,12722.7733369907,12457.4500044982,12447.0233374437,12296.3466719945,12290.0166725318,12292.3366724888,12286.4466734727,12281.2866724491
"RC203",4049.62,4185.37333738804,4154.86666996479,4130.89667043686,4112.19333680471,4106.4433374087,4099.84000358582,4093.61333657106,4090.25667003791,4089.32333670457,4085.91667026679
"C103",10828.06,10856.4400011937,10838.5133347273,10831.0200015465,10828.06,10828.06,10828.06,10828.06,10828.06,10828.06,10828.06
"C202",3591.56,3615.43000321388,3595.03000311852,3591.56,3591.56,3591.56,3591.56,3591.56,3591.56,3591.56,3591.56
"R106",13252.03,14190.9999997536,14050.2499994675,14010.9433322191,13584.8899990161,13646.9966659983,13445.1366648714,13309.6566636483,13275.5533306599,13273.4666643103,13271.5999966621
"R205",3994.43,4121.70333131154,4103.87666472594,4071.65333102544,4057.99999702374,4055.93666379452,4046.05666384697,4043.69666309357,4041.17666376432,4039.36999711196,4037.69332943757
"RC102",13554.75,15374.1466691335,15099.0900023778,14956.710002168,14693.933336401,14695.4733368715,14527.8900040785,14518.0600033919,14509.9066690127,14511.6466697534,14476.4100026925
"RC202",4365.65,5320.63000587622,5264.27000632286,5250.99667342504,5233.94667275747,5228.09667307536,5192.68333967527,5198.25000575384,5197.42667285601,5197.29333971341,5190.94667239189
"C102",10828.94,10868.6166681449,10852.8166687171,10831.0100020488,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94
"C201",3591.56,3593.0533364137,3591.56,3591.56,3591.56,3591.56,3591.56,3591.56,3591.56,3591.56,3591.56
"R105",15377.11,15991.9666698456,15681.8500030597,15609.7133368095,15436.1966692368,15399.3533360879,15394.9200029214,15390.2566693783,15388.2466692289,15387.5633356253,15386.7766690811
"R204",2825.52,3750.33666570981,3787.5699992458,3661.28333194653,3526.18999892076,3375.28666624228,3099.52333235343,3004.42666521867,2882.38333181143,2847.85333174467,2850.64666525523
"RC101",15696.95,17181.7866751035,16864.7966743787,16753.9333413124,16677.7800073624,16675.5166739146,16653.5800084591,16649.2766750336,16646.7700078964,16644.2333408833,16644.9200078487
"RC201",5406.94,5546.8400074323,5524.45333970388,5488.1733390967,5474.76000657082,5473.66667413712,5467.2000061353,5458.6566725413,5461.2100054582,5454.01000671387,5453.30667285919
"C101",10828.94,10935.170001928,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94,10828.94
"R104",10007.31,11037.6199979266,11012.5466647506,11007.049997584,11003.3833307862,11002.5699974616,10962.2266637802,10989.9899981459,10957.2733309468,10988.2366646926,10988.9833311439
"R203",3939.5,4018.17333276669,3996.53999937773,3980.88333245118,3969.73666570584,3964.56666624546,3956.00000008742,3953.77333264351,3952.82999937932,3952.24333285093,3950.95333259503
"R103",14292.68,15251.2533330202,15089.4399996003,15083.5199995915,15016.6833328446,14952.7366663496,14647.9899998824,14499.7433333556,14494.1866668145,14372.6399992625,14307.4499995907
"R202",4191.7,5148.65666638215,5142.84333269993,5120.69666699171,5116.59999943177,5107.27999962568,5043.59666628838,5043.51666604678,4950.34999914567,4894.55999911229,4978.56999994516
"R102",18486.12,19261.2233385404,19254.1333387295,18826.0900046825,18661.4266713142,18627.5933374127,18494.3666706324,18492.0500036597,18491.6633371552,18492.2633370598,18490.1066705585
"R201",5252.37,5334.40666799545,5311.04666748047,5292.57666753133,5284.88000115553,5280.31000058651,5271.87000106176,5270.04000081221,5264.01000006994,5264.3266673247,5259.74000019232
"R101",20650.8,20767.4633400679,20664.5000059525,20655.4166730881,20655.0533400059,20652.4266735395,20651.3700067123,20651.0400071939,20650.8,20650.8,20650.8
